"",BBK01.CEFQ05,BBK01.CEFQ05_FLAGS
"",short-term time deposits                              debtor: Total           creditor:  OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:32,
1999-01,17.0,
1999-04,15.2,
1999-07,14.6,
1999-10,10.8,
2000-01,19.6,
2000-04,12.6,
2000-07,13.2,
2000-10,10.3,
2001-01,17.8,
2001-04,16.7,
2001-07,17.8,
2001-10,17.2,
2002-01,30.8,
2002-04,32.0,
2002-07,27.7,
2002-10,13.2,
2003-01,23.1,
2003-04,29.2,
2003-07,35.9,
2003-10,31.2,
2004-01,42.9,
2004-04,35.1,
2004-07,40.6,
2004-10,32.0,
2005-01,58.2,
2005-04,49.9,
2005-07,63.5,
2005-10,46.5,
2006-01,59.8,
2006-04,54.8,
2006-07,67.3,
2006-10,49.2,
2007-01,71.9,
2007-04,67.9,
2007-07,61.9,
2007-10,51.0,
2008-01,79.6,
2008-04,71.8,
2008-07,82.8,
2008-10,73.7,
2009-01,105.9,
2009-04,116.1,
2009-07,108.1,
2009-10,159.4,
2010-01,146.0,
2010-04,172.1,
2010-07,176.5,
2010-10,165.8,
2011-01,168.0,
2011-04,217.5,
2011-07,269.3,
2011-10,240.0,
2012-01,243.2,
2012-04,290.3,
2012-07,292.6,
2012-10,250.2,
2013-01,293.7,
2013-04,322.9,
2013-07,115.6,
2013-10,111.2,
2014-01,134.4,
2014-04,137.5,
2014-07,131.9,
