"",BBDE1.Q.DE.Y.LCA1.P2XG00300.A.L.I08.A,BBDE1.Q.DE.Y.LCA1.P2XG00300.A.L.I08.A_FLAGS
"",Index of labour costs / Germany / Section G-N - Market-based service activities / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:06,
1996-01,80.2,
1996-04,80.5,
1996-07,81.1,
1996-10,82.2,
1997-01,82.4,
1997-04,82.4,
1997-07,82.3,
1997-10,82.7,
1998-01,83.1,
1998-04,83.3,
1998-07,83.7,
1998-10,84.1,
1999-01,84.2,
1999-04,85.4,
1999-07,85.8,
1999-10,86.1,
2000-01,86.0,
2000-04,86.9,
2000-07,87.5,
2000-10,88.4,
2001-01,88.2,
2001-04,89.1,
2001-07,89.7,
2001-10,90.4,
2002-01,91.0,
2002-04,91.0,
2002-07,92.4,
2002-10,93.0,
2003-01,94.3,
2003-04,94.8,
2003-07,94.6,
2003-10,95.1,
2004-01,95.7,
2004-04,95.6,
2004-07,95.3,
2004-10,95.7,
2005-01,96.3,
2005-04,96.3,
2005-07,96.2,
2005-10,96.1,
2006-01,96.1,
2006-04,96.5,
2006-07,96.9,
2006-10,96.9,
2007-01,96.8,
2007-04,97.6,
2007-07,97.9,
2007-10,98.7,
2008-01,99.5,
2008-04,99.0,
2008-07,100.2,
2008-10,101.3,
2009-01,101.8,
2009-04,101.8,
2009-07,102.7,
2009-10,102.4,
2010-01,103.6,
2010-04,103.8,
2010-07,104.8,
2010-10,105.1,
2011-01,105.4,
2011-04,106.7,
2011-07,107.0,
2011-10,108.0,
2012-01,109.3,
2012-04,111.1,
2012-07,111.7,
2012-10,112.0,
2013-01,111.7,
2013-04,111.3,
2013-07,110.8,
2013-10,111.9,
2014-01,111.7,
2014-04,112.6,
2014-07,113.2,
