"",BBK01.CEH020,BBK01.CEH020_FLAGS
"",External financing insgesamt debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:23,
1991-01,26.2,
1991-04,51.8,
1991-07,49.1,
1991-10,129.8,
1992-01,51.5,
1992-04,48.7,
1992-07,90.6,
1992-10,102.3,
1993-01,78.3,
1993-04,82.0,
1993-07,85.1,
1993-10,197.8,
1994-01,19.8,
1994-04,73.6,
1994-07,37.0,
1994-10,155.1,
1995-01,44.7,
1995-04,82.7,
1995-07,113.0,
1995-10,201.2,
1996-01,116.7,
1996-04,78.5,
1996-07,87.7,
1996-10,206.8,
1997-01,144.4,
1997-04,137.3,
1997-07,77.7,
1997-10,198.7,
1998-01,162.7,
1998-04,183.2,
1998-07,103.9,
1998-10,227.2,
1999-01,120.7,
1999-04,159.3,
1999-07,143.0,
1999-10,193.4,
2000-01,204.2,
2000-04,69.9,
2000-07,64.7,
2000-10,201.0,
2001-01,250.6,
2001-04,-6.1,
2001-07,59.0,
2001-10,85.9,
2002-01,36.7,
2002-04,70.3,
2002-07,101.6,
2002-10,122.2,
2003-01,104.4,
2003-04,92.9,
2003-07,-46.2,
2003-10,117.9,
2004-01,88.6,
2004-04,48.1,
2004-07,69.6,
2004-10,71.3,
2005-01,140.4,
2005-04,110.8,
2005-07,86.7,
2005-10,15.7,
2006-01,178.3,
2006-04,132.1,
2006-07,100.3,
2006-10,102.2,
2007-01,171.2,
2007-04,133.6,
2007-07,137.9,
2007-10,257.0,
2008-01,101.0,
2008-04,54.1,
2008-07,276.8,
2008-10,129.3,
2009-01,-125.1,
2009-04,58.8,
2009-07,-235.0,
2009-10,-36.9,
2010-01,61.0,
2010-04,314.8,
2010-07,-290.4,
2010-10,18.3,
2011-01,-111.0,
2011-04,30.8,
2011-07,300.8,
2011-10,-41.6,
2012-01,474.6,
2012-04,149.3,
2012-07,-73.8,
2012-10,-237.1,
2013-01,-78.5,
2013-04,-21.7,
2013-07,-176.9,
2013-10,-68.6,
2014-01,61.8,
