"",BBK01.OEAF22H,BBK01.OEAF22H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:27,
2002-01,10.443,
2002-04,10.199,
2002-07,10.211,
2002-10,9.988,
2003-01,9.902,
2003-04,9.774,
2003-07,9.873,
2003-10,9.887,
2004-01,9.792,
2004-04,10.366,
2004-07,9.791,
2004-10,9.761,
2005-01,9.819,
2005-04,9.998,
2005-07,10.127,
2005-10,10.260,
2006-01,10.090,
2006-04,10.058,
2006-07,10.137,
2006-10,10.001,
2007-01,9.770,
2007-04,9.684,
2007-07,9.510,
2007-10,9.248,
2008-01,8.982,
2008-04,8.850,
2008-07,8.721,
2008-10,8.491,
2009-01,8.524,
2009-04,8.652,
2009-07,9.071,
2009-10,8.868,
2010-01,8.828,
2010-04,9.415,
2010-07,9.520,
2010-10,9.662,
2011-01,9.770,
2011-04,10.029,
2011-07,12.298,
2011-10,12.343,
2012-01,12.331,
2012-04,12.244,
2012-07,12.389,
2012-10,12.498,
2013-01,13.359,
2013-04,13.510,
2013-07,13.777,
2013-10,13.839,
2014-01,13.789,
2014-04,13.718,
2014-07,13.847,
