"",BBDE1.M.DE.Y.BAA1.N2C170000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.N2C170000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / 17 Manufacture of paper and paper products / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:50,
1991-01,89.7,
1991-02,87.5,
1991-03,86.7,
1991-04,88.6,
1991-05,85.9,
1991-06,90.9,
1991-07,86.0,
1991-08,83.6,
1991-09,86.8,
1991-10,86.1,
1991-11,87.5,
1991-12,86.6,
1992-01,86.6,
1992-02,88.6,
1992-03,88.4,
1992-04,86.2,
1992-05,90.3,
1992-06,83.8,
1992-07,85.6,
1992-08,84.3,
1992-09,84.0,
1992-10,82.9,
1992-11,82.6,
1992-12,81.0,
1993-01,82.1,
1993-02,81.2,
1993-03,82.4,
1993-04,79.8,
1993-05,80.5,
1993-06,81.4,
1993-07,81.1,
1993-08,81.8,
1993-09,82.2,
1993-10,82.4,
1993-11,83.1,
1993-12,83.3,
1994-01,84.3,
1994-02,83.5,
1994-03,82.7,
1994-04,85.6,
1994-05,82.8,
1994-06,82.8,
1994-07,86.1,
1994-08,84.4,
1994-09,88.2,
1994-10,89.7,
1994-11,86.2,
1994-12,86.6,
1995-01,81.1,
1995-02,83.0,
1995-03,83.5,
1995-04,85.4,
1995-05,84.0,
1995-06,82.4,
1995-07,83.4,
1995-08,82.5,
1995-09,83.0,
1995-10,80.3,
1995-11,78.1,
1995-12,77.6,
1996-01,78.6,
1996-02,79.4,
1996-03,80.4,
1996-04,79.2,
1996-05,78.8,
1996-06,83.2,
1996-07,79.8,
1996-08,82.6,
1996-09,83.2,
1996-10,83.5,
1996-11,84.1,
1996-12,84.5,
1997-01,83.4,
1997-02,84.7,
1997-03,84.9,
1997-04,81.2,
1997-05,83.4,
1997-06,82.3,
1997-07,81.5,
1997-08,82.8,
1997-09,81.9,
1997-10,82.8,
1997-11,82.8,
1997-12,84.3,
1998-01,84.6,
1998-02,84.4,
1998-03,84.7,
1998-04,84.5,
1998-05,84.7,
1998-06,82.5,
1998-07,83.0,
1998-08,84.5,
1998-09,81.9,
1998-10,78.6,
1998-11,80.3,
1998-12,80.1,
1999-01,82.3,
1999-02,80.9,
1999-03,82.3,
1999-04,81.5,
1999-05,82.8,
1999-06,84.5,
1999-07,83.4,
1999-08,82.2,
1999-09,82.2,
1999-10,83.5,
1999-11,85.7,
1999-12,86.9,
2000-01,80.8,
2000-02,82.7,
2000-03,82.7,
2000-04,85.5,
2000-05,84.8,
2000-06,84.4,
2000-07,87.9,
2000-08,87.5,
2000-09,85.5,
2000-10,86.2,
2000-11,85.3,
2000-12,84.1,
2001-01,83.5,
2001-02,83.8,
2001-03,83.6,
2001-04,81.4,
2001-05,83.6,
2001-06,82.2,
2001-07,82.3,
2001-08,83.8,
2001-09,83.4,
2001-10,82.5,
2001-11,81.3,
2001-12,83.4,
2002-01,83.2,
2002-02,83.4,
2002-03,83.6,
2002-04,85.8,
2002-05,84.9,
2002-06,83.8,
2002-07,83.4,
2002-08,82.6,
2002-09,83.5,
2002-10,83.7,
2002-11,85.4,
2002-12,83.5,
2003-01,86.9,
2003-02,86.6,
2003-03,87.1,
2003-04,87.5,
2003-05,85.2,
2003-06,84.6,
2003-07,84.8,
2003-08,84.9,
2003-09,87.6,
2003-10,87.8,
2003-11,85.4,
2003-12,87.4,
2004-01,87.3,
2004-02,87.4,
2004-03,88.1,
2004-04,88.0,
2004-05,86.7,
2004-06,88.5,
2004-07,88.0,
2004-08,87.3,
2004-09,89.1,
2004-10,87.7,
2004-11,88.9,
2004-12,89.7,
2005-01,88.4,
2005-02,88.4,
2005-03,87.6,
2005-04,89.4,
2005-05,88.6,
2005-06,91.5,
2005-07,93.2,
2005-08,91.8,
2005-09,91.6,
2005-10,92.3,
