"",BBK01.OEHI01L,BBK01.OEHI01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:27,
2002-01,51.208,
2002-04,51.266,
2002-07,50.965,
2002-10,52.518,
2003-01,52.177,
2003-04,52.154,
2003-07,51.651,
2003-10,52.794,
2004-01,52.304,
2004-04,52.139,
2004-07,51.988,
2004-10,53.046,
2005-01,52.451,
2005-04,52.438,
2005-07,52.024,
2005-10,53.297,
2006-01,53.658,
2006-04,54.090,
2006-07,54.519,
2006-10,55.782,
2007-01,55.305,
2007-04,56.266,
2007-07,57.166,
2007-10,58.580,
2008-01,58.293,
2008-04,58.474,
2008-07,59.091,
2008-10,61.336,
2009-01,60.392,
2009-04,61.167,
2009-07,60.540,
2009-10,62.308,
2010-01,62.233,
2010-04,62.714,
2010-07,62.326,
2010-10,63.102,
2011-01,63.019,
2011-04,62.942,
2011-07,63.070,
2011-10,64.748,
2012-01,63.918,
2012-04,64.698,
2012-07,64.855,
2012-10,65.942,
2013-01,65.149,
2013-04,65.781,
2013-07,66.226,
2013-10,67.493,
2014-01,66.612,
2014-04,67.383,
2014-07,67.809,
