"",BBK01.OXA8L7,BBK01.OXA8L7_FLAGS
"","Stocks of loans to domestic non-banks (including bills of exchange), traditionally securitised by servicing banks (MFIs) in Germany also being the originator with removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:42,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,5.789,
2010-07,5.469,
2010-08,5.188,
2010-09,4.906,
2010-10,4.582,
2010-11,4.188,
2010-12,3.856,
2011-01,3.676,
2011-02,4.089,
2011-03,3.919,
2011-04,3.750,
2011-05,3.578,
2011-06,4.036,
2011-07,4.962,
2011-08,4.794,
2011-09,4.583,
2011-10,4.488,
2011-11,4.083,
2011-12,3.959,
2012-01,3.842,
2012-02,3.781,
2012-03,3.497,
2012-04,3.211,
2012-05,3.149,
2012-06,3.016,
2012-07,2.891,
2012-08,2.839,
2012-09,2.786,
2012-10,2.728,
2012-11,2.452,
2012-12,2.457,
2013-01,2.270,
2013-02,3.129,
2013-03,3.018,
2013-04,2.882,
2013-05,2.758,
2013-06,2.635,
2013-07,3.233,
2013-08,3.072,
2013-09,2.920,
2013-10,2.807,
2013-11,2.712,
2013-12,2.624,
2014-01,2.529,
2014-02,2.438,
2014-03,2.221,
2014-04,2.118,
2014-05,3.323,
2014-06,3.164,
2014-07,3.031,
2014-08,2.970,
2014-09,2.867,
2014-10,2.718,
2014-11,3.290,
2014-12,3.207,Provisional value
