"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.LU.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.LU.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Luxembourg,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:49,
2009-09,12122,
2009-10,12206,
2009-11,12529,
2009-12,12817,
2010-01,12893,
2010-02,13159,
2010-03,14373,
2010-04,14654,
2010-05,14091,
2010-06,13826,
2010-07,14241,
2010-08,14725,
2010-09,15004,
2010-10,15773,
2010-11,16277,
2010-12,17172,
2011-01,16642,
2011-02,16747,
2011-03,16085,
2011-04,16577,
2011-05,16494,
2011-06,16267,
2011-07,16185,
2011-08,14780,
2011-09,14134,
2011-10,14564,
2011-11,13926,
2011-12,14230,
2012-01,14615,
2012-02,15160,
2012-03,15253,
2012-04,15020,
2012-05,14641,
2012-06,14595,
2012-07,15427,
2012-08,15441,
2012-09,15688,
2012-10,15806,
2012-11,16659,
2012-12,16805,
2013-01,16880,
2013-02,17282,
2013-03,17570,
2013-04,17870,
2013-05,18139,
2013-06,17000,
2013-07,17927,
2013-08,18136,
2013-09,18307,
2013-10,18899,
2013-11,19251,
2013-12,19540,
2014-01,19746,
2014-02,19846,
2014-03,20319,
2014-04,20562,
2014-05,21221,
2014-06,21990,
2014-07,22238,
2014-08,22624,
2014-09,22940,
2014-10,23008,
2014-11,23791,
