"",BBK01.OEXI09M,BBK01.OEXI09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:22,
2002-01,1.250,
2002-04,1.179,
2002-07,1.191,
2002-10,1.135,
2003-01,0.998,
2003-04,0.886,
2003-07,0.812,
2003-10,0.786,
2004-01,0.762,
2004-04,0.724,
2004-07,0.717,
2004-10,0.772,
2005-01,0.829,
2005-04,0.832,
2005-07,0.782,
2005-10,0.797,
2006-01,0.831,
2006-04,0.878,
2006-07,0.934,
2006-10,1.007,
2007-01,1.253,
2007-04,1.329,
2007-07,1.408,
2007-10,1.545,
2008-01,1.560,
2008-04,1.552,
2008-07,1.418,
2008-10,1.849,
2009-01,1.763,
2009-04,1.711,
2009-07,1.709,
2009-10,1.436,
2010-01,1.373,
2010-04,1.560,
2010-07,1.542,
2010-10,1.808,
2011-01,2.120,
2011-04,1.973,
2011-07,2.002,
2011-10,2.003,
2012-01,1.665,
2012-04,1.620,
2012-07,1.482,
2012-10,1.183,
2013-01,0.955,
2013-04,0.818,
2013-07,0.772,
2013-10,0.737,
2014-01,0.720,
2014-04,0.699,
2014-07,0.876,
