"",BBK01.OEAF06I,BBK01.OEAF06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:33,
2002-01,3.300,
2002-04,3.489,
2002-07,3.607,
2002-10,3.417,
2003-01,3.559,
2003-04,4.041,
2003-07,3.215,
2003-10,3.254,
2004-01,3.240,
2004-04,3.325,
2004-07,3.348,
2004-10,3.297,
2005-01,3.709,
2005-04,3.687,
2005-07,3.869,
2005-10,3.894,
2006-01,3.923,
2006-04,4.015,
2006-07,4.106,
2006-10,4.073,
2007-01,4.098,
2007-04,4.198,
2007-07,4.246,
2007-10,4.122,
2008-01,4.212,
2008-04,4.944,
2008-07,5.037,
2008-10,6.040,
2009-01,6.152,
2009-04,6.244,
2009-07,6.317,
2009-10,7.016,
2010-01,6.862,
2010-04,6.839,
2010-07,6.353,
2010-10,6.277,
2011-01,6.284,
2011-04,6.075,
2011-07,5.976,
2011-10,5.170,
2012-01,5.068,
2012-04,4.899,
2012-07,4.659,
2012-10,4.524,
2013-01,4.416,
2013-04,4.368,
2013-07,4.370,
2013-10,4.338,
2014-01,4.382,
2014-04,4.378,
2014-07,4.432,
