"",BBFB1.Q.N.DE.E1.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:44,
1999-01,7782.630,
1999-04,10658.711,
1999-07,14755.417,
1999-10,8650.890,
2000-01,8409.338,
2000-04,11694.504,
2000-07,16271.031,
2000-10,9472.353,
2001-01,8602.117,
2001-04,11757.881,
2001-07,17176.894,
2001-10,9450.233,
2002-01,8847.051,
2002-04,11538.055,
2002-07,16601.546,
2002-10,8868.212,
2003-01,8303.564,
2003-04,12297.306,
2003-07,18589.678,
2003-10,9011.591,
2004-01,8340.420,
2004-04,12401.452,
2004-07,17567.816,
2004-10,9065.239,
2005-01,8895.142,
2005-04,11960.753,
2005-07,18595.632,
2005-10,9654.568,
2006-01,8550.957,
2006-04,12163.778,
2006-07,18253.582,
2006-10,8697.613,
2007-01,8154.201,
2007-04,12413.389,
2007-07,18934.526,
2007-10,9346.952,
2008-01,8893.285,
2008-04,12731.314,
2008-07,19265.626,
2008-10,9537.635,
2009-01,7778.495,
2009-04,11790.533,
2009-07,18171.687,
2009-10,9004.703,
2010-01,7904.169,
2010-04,12028.165,
2010-07,18358.985,
2010-10,9357.672,
2011-01,7904.817,
2011-04,12436.084,
2011-07,19525.785,
2011-10,9743.460,
2012-01,7859.521,
2012-04,12345.341,
2012-07,20066.204,
2012-10,9670.879,
2013-01,8715.224,
2013-04,12951.078,
2013-07,21714.368,
2013-10,11252.088,
2014-01,8708.510,Provisional value
2014-04,13556.669,Provisional value
2014-07,23198.948,Provisional value
2014-10,11390.087,Provisional value
