"",BBK01.OEAC46U,BBK01.OEAC46U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:32,
2002-01,8.885,
2002-04,8.957,
2002-07,8.925,
2002-10,9.016,
2003-01,8.853,
2003-04,8.833,
2003-07,8.830,
2003-10,8.877,
2004-01,8.755,
2004-04,8.310,
2004-07,8.322,
2004-10,8.357,
2005-01,8.235,
2005-04,8.134,
2005-07,8.069,
2005-10,8.057,
2006-01,7.977,
2006-04,8.030,
2006-07,8.097,
2006-10,8.165,
2007-01,8.185,
2007-04,8.267,
2007-07,8.309,
2007-10,8.572,
2008-01,8.548,
2008-04,8.637,
2008-07,8.744,
2008-10,8.759,
2009-01,8.684,
2009-04,9.203,
2009-07,9.208,
2009-10,9.318,
2010-01,9.378,
2010-04,9.546,
2010-07,9.693,
2010-10,9.779,
2011-01,9.917,
2011-04,10.069,
2011-07,10.130,
2011-10,10.178,
2012-01,10.174,
2012-04,10.633,
2012-07,10.718,
2012-10,10.791,
2013-01,10.812,
2013-04,11.011,
2013-07,11.241,
2013-10,11.454,
2014-01,11.631,
2014-04,11.955,
2014-07,11.842,
