"",BBK01.RJ2033,BBK01.RJ2033_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:23:50,
1989,.,No value available
1990,.,No value available
1991,.,No value available
1992,.,No value available
1993,.,No value available
1994,.,No value available
1995,.,No value available
1996,.,No value available
1997,3,
1998,.,No value available
1999,.,No value available
2000,.,No value available
2001,.,No value available
2002,3,
2003,.,No value available
2004,-,Nothing exists
2005,-,Nothing exists
2006,.,No value available
2007,.,No value available
2008,.,No value available
2009,.,No value available
2010,.,No value available
2011,.,No value available
2012,9,
