"",BBK01.OEXI09N,BBK01.OEXI09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:22,
2002-01,4.501,
2002-04,4.274,
2002-07,4.290,
2002-10,4.030,
2003-01,3.610,
2003-04,3.265,
2003-07,2.950,
2003-10,2.774,
2004-01,2.606,
2004-04,2.431,
2004-07,2.277,
2004-10,1.880,
2005-01,1.980,
2005-04,1.870,
2005-07,1.581,
2005-10,1.550,
2006-01,1.575,
2006-04,1.737,
2006-07,1.918,
2006-10,2.110,
2007-01,3.020,
2007-04,3.471,
2007-07,3.878,
2007-10,4.450,
2008-01,4.746,
2008-04,4.951,
2008-07,5.221,
2008-10,7.440,
2009-01,7.269,
2009-04,7.094,
2009-07,7.007,
2009-10,5.621,
2010-01,4.533,
2010-04,4.360,
2010-07,4.133,
2010-10,4.960,
2011-01,5.756,
2011-04,6.015,
2011-07,6.089,
2011-10,5.800,
2012-01,5.313,
2012-04,5.322,
2012-07,5.001,
2012-10,4.255,
2013-01,3.591,
2013-04,3.073,
2013-07,2.837,
2013-10,2.687,
2014-01,2.576,
2014-04,2.473,
2014-07,3.245,
