"",BBFB1.Q.N.DE.NL.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:11,
1991-01,1242.759,
1991-04,1220.854,
1991-07,1404.475,
1991-10,1215.590,
1992-01,1309.344,
1992-04,1308.241,
1992-07,1418.136,
1992-10,1376.920,
1993-01,1285.402,
1993-04,1353.288,
1993-07,1476.715,
1993-10,1283.129,
1994-01,1312.421,
1994-04,1386.086,
1994-07,1512.046,
1994-10,1315.385,
1995-01,1436.884,
1995-04,1398.834,
1995-07,1548.068,
1995-10,1362.735,
1996-01,1485.667,
1996-04,1553.816,
1996-07,1674.085,
1996-10,1447.050,
1997-01,1560.656,
1997-04,1600.951,
1997-07,1865.914,
1997-10,1601.349,
1998-01,1661.489,
1998-04,1677.778,
1998-07,1865.816,
1998-10,1698.139,
1999-01,1830.097,
1999-04,1879.010,
1999-07,1988.156,
1999-10,1960.262,
2000-01,2094.887,
2000-04,2098.570,
2000-07,2317.544,
2000-10,2350.269,
2001-01,2394.658,
2001-04,2111.899,
2001-07,2173.397,
2001-10,2148.566,
2002-01,1985.754,
2002-04,2281.210,
2002-07,2302.998,
2002-10,2263.359,
2003-01,2111.273,
2003-04,2383.828,
2003-07,2478.236,
2003-10,2339.418,
2004-01,2203.838,
2004-04,2491.400,
2004-07,2518.060,
2004-10,2391.594,
2005-01,2031.758,
2005-04,2288.314,
2005-07,2611.594,
2005-10,2483.522,
2006-01,2277.021,
2006-04,2465.438,
2006-07,2577.221,
2006-10,2413.714,
2007-01,2282.671,
2007-04,2441.737,
2007-07,2438.502,
2007-10,2461.016,
2008-01,2378.799,
2008-04,2499.258,
2008-07,2814.310,
2008-10,2765.810,
2009-01,2291.392,
2009-04,2581.862,
2009-07,2778.247,
2009-10,2707.794,
2010-01,2368.809,
2010-04,3304.105,
2010-07,3058.522,
2010-10,3136.432,
2011-01,2664.119,
2011-04,2961.382,
2011-07,3181.398,
2011-10,3228.907,
2012-01,2951.512,
2012-04,3079.603,
2012-07,3462.901,
2012-10,3240.945,
2013-01,3388.612,
2013-04,3505.179,
2013-07,3895.939,
2013-10,3573.371,
2014-01,3100.216,Provisional value
2014-04,3415.632,Provisional value
2014-07,4076.583,Provisional value
