"",BBK01.OEHO02O,BBK01.OEHO02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:36,
2002-01,1.335,
2002-04,1.022,
2002-07,0.977,
2002-10,1.123,
2003-01,1.324,
2003-04,1.019,
2003-07,0.993,
2003-10,1.109,
2004-01,1.227,
2004-04,0.907,
2004-07,0.868,
2004-10,1.176,
2005-01,1.741,
2005-04,0.977,
2005-07,0.806,
2005-10,1.081,
2006-01,1.186,
2006-04,1.012,
2006-07,0.835,
2006-10,1.042,
2007-01,1.031,
2007-04,0.819,
2007-07,0.779,
2007-10,0.907,
2008-01,0.957,
2008-04,0.736,
2008-07,0.708,
2008-10,0.998,
2009-01,1.484,
2009-04,1.658,
2009-07,1.503,
2009-10,1.380,
2010-01,1.179,
2010-04,0.850,
2010-07,0.869,
2010-10,0.781,
2011-01,0.827,
2011-04,0.694,
2011-07,0.654,
2011-10,0.698,
2012-01,0.759,
2012-04,0.679,
2012-07,0.729,
2012-10,0.852,
2013-01,0.895,
2013-04,0.662,
2013-07,0.605,
2013-10,0.764,
2014-01,0.690,
2014-04,0.661,
2014-07,0.614,
