"",BBK01.OEAH01H,BBK01.OEAH01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:43,
2002-01,378.896,
2002-04,375.110,
2002-07,374.571,
2002-10,382.324,
2003-01,384.453,
2003-04,386.873,
2003-07,382.418,
2003-10,389.482,
2004-01,392.429,
2004-04,387.096,
2004-07,383.562,
2004-10,391.312,
2005-01,406.700,
2005-04,409.023,
2005-07,411.952,
2005-10,416.000,
2006-01,419.794,
2006-04,424.337,
2006-07,430.697,
2006-10,432.905,
2007-01,449.436,
2007-04,454.214,
2007-07,466.143,
2007-10,474.709,
2008-01,492.223,
2008-04,500.240,
2008-07,507.552,
2008-10,523.092,
2009-01,529.307,
2009-04,522.595,
2009-07,519.847,
2009-10,519.039,
2010-01,524.769,
2010-04,532.774,
2010-07,538.601,
2010-10,548.601,
2011-01,546.834,
2011-04,551.651,
2011-07,573.120,
2011-10,570.417,
2012-01,568.319,
2012-04,577.287,
2012-07,589.807,
2012-10,578.089,
2013-01,583.019,
2013-04,589.957,
2013-07,560.019,
2013-10,565.395,
2014-01,570.163,
2014-04,573.002,
2014-07,574.649,
