"",BBFB1.Q.N.DE.CH.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:44,
1991-01,-147.581,
1991-04,57.445,
1991-07,-12.763,
1991-10,404.084,
1992-01,172.125,
1992-04,3.994,
1992-07,-21.629,
1992-10,-119.937,
1993-01,171.238,
1993-04,314.818,
1993-07,-55.327,
1993-10,-173.266,
1994-01,-171.346,
1994-04,-364.439,
1994-07,-73.051,
1994-10,-152.718,
1995-01,-239.811,
1995-04,-375.390,
1995-07,-212.355,
1995-10,-48.158,
1996-01,-266.038,
1996-04,-174.110,
1996-07,-6.281,
1996-10,-146.564,
1997-01,-358.335,
1997-04,-186.913,
1997-07,-45.105,
1997-10,-163.224,
1998-01,-324.442,
1998-04,-350.035,
1998-07,-192.557,
1998-10,-124.408,
1999-01,-243.594,
1999-04,46.745,
1999-07,-147.221,
1999-10,-115.500,
2000-01,-155.280,
2000-04,-179.511,
2000-07,-57.618,
2000-10,-59.694,
2001-01,-61.177,
2001-04,-172.246,
2001-07,14.368,
2001-10,-7.396,
2002-01,-274.152,
2002-04,-3.274,
2002-07,-121.146,
2002-10,719.795,
2003-01,-56.682,
2003-04,-31.851,
2003-07,34.706,
2003-10,-79.459,
2004-01,12.087,
2004-04,-221.747,
2004-07,-35.618,
2004-10,-390.867,
2005-01,-32.314,
2005-04,20.073,
2005-07,-28.096,
2005-10,-311.678,
2006-01,230.373,
2006-04,-47.993,
2006-07,-14.249,
2006-10,1.298,
2007-01,-59.299,
2007-04,-20.161,
2007-07,-15.783,
2007-10,-408.948,
2008-01,469.507,
2008-04,16.107,
2008-07,147.434,
2008-10,77.222,
2009-01,689.654,
2009-04,86.167,
2009-07,91.032,
2009-10,-874.972,
2010-01,-13.113,
2010-04,-83.730,
2010-07,21.660,
2010-10,330.468,
2011-01,4.246,
2011-04,-14.473,
2011-07,-14.841,
2011-10,-2.017,
2012-01,47.016,
2012-04,298.754,
2012-07,-16.835,
2012-10,192.743,
2013-01,12.200,
2013-04,373.352,
2013-07,324.862,
2013-10,-13.802,
2014-01,-212.619,Provisional value
2014-04,147.174,Provisional value
2014-07,-200.070,Provisional value
2014-10,43.241,Provisional value
