"",BBK01.OEAH60T,BBK01.OEAH60T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:59,
2002-01,0.850,
2002-04,0.805,
2002-07,0.790,
2002-10,0.848,
2003-01,0.874,
2003-04,0.784,
2003-07,0.808,
2003-10,0.747,
2004-01,0.784,
2004-04,0.735,
2004-07,0.722,
2004-10,0.722,
2005-01,0.750,
2005-04,0.729,
2005-07,0.731,
2005-10,0.681,
2006-01,0.738,
2006-04,0.717,
2006-07,0.766,
2006-10,0.794,
2007-01,0.863,
2007-04,0.858,
2007-07,0.890,
2007-10,0.863,
2008-01,0.974,
2008-04,1.011,
2008-07,0.988,
2008-10,1.057,
2009-01,1.076,
2009-04,0.866,
2009-07,0.740,
2009-10,0.628,
2010-01,0.562,
2010-04,0.538,
2010-07,0.490,
2010-10,0.448,
2011-01,0.460,
2011-04,0.422,
2011-07,0.414,
2011-10,0.439,
2012-01,0.447,
2012-04,0.438,
2012-07,0.454,
2012-10,0.405,
2013-01,0.341,
2013-04,0.326,
2013-07,0.287,
2013-10,0.278,
2014-01,0.278,
2014-04,0.371,
2014-07,0.297,
