"",BBK01.OEAO02O,BBK01.OEAO02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:29,
2002-01,2.370,
2002-04,1.747,
2002-07,1.873,
2002-10,1.796,
2003-01,1.930,
2003-04,1.262,
2003-07,1.333,
2003-10,1.473,
2004-01,1.592,
2004-04,0.856,
2004-07,1.243,
2004-10,1.569,
2005-01,3.602,
2005-04,2.501,
2005-07,2.208,
2005-10,2.748,
2006-01,3.295,
2006-04,2.745,
2006-07,2.526,
2006-10,2.857,
2007-01,3.387,
2007-04,2.517,
2007-07,2.568,
2007-10,2.787,
2008-01,2.965,
2008-04,2.339,
2008-07,2.165,
2008-10,3.138,
2009-01,3.603,
2009-04,3.576,
2009-07,3.733,
2009-10,3.546,
2010-01,3.496,
2010-04,2.356,
2010-07,2.200,
2010-10,2.386,
2011-01,2.555,
2011-04,2.088,
2011-07,2.034,
2011-10,2.199,
2012-01,2.575,
2012-04,1.943,
2012-07,2.090,
2012-10,2.326,
2013-01,2.641,
2013-04,1.920,
2013-07,1.793,
2013-10,1.980,
2014-01,2.027,
2014-04,1.772,
2014-07,1.950,
