"",BBK01.OEYM04H,BBK01.OEYM04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:50,
2002-01,1.283,
2002-04,1.138,
2002-07,0.921,
2002-10,0.334,
2003-01,0.390,
2003-04,0.793,
2003-07,0.807,
2003-10,0.362,
2004-01,0.501,
2004-04,0.374,
2004-07,0.411,
2004-10,0.940,
2005-01,0.795,
2005-04,1.377,
2005-07,1.232,
2005-10,1.331,
2006-01,1.544,
2006-04,2.141,
2006-07,2.603,
2006-10,2.850,
2007-01,2.507,
2007-04,2.522,
2007-07,4.556,
2007-10,5.044,
2008-01,6.420,
2008-04,7.571,
2008-07,6.544,
2008-10,3.222,
2009-01,2.010,
2009-04,1.406,
2009-07,2.035,
2009-10,1.867,
2010-01,2.915,
2010-04,2.822,
2010-07,3.514,
2010-10,3.749,
2011-01,3.769,
2011-04,5.324,
2011-07,6.060,
2011-10,6.898,
2012-01,5.223,
2012-04,4.934,
2012-07,4.919,
2012-10,5.726,
2013-01,6.643,
2013-04,6.333,
2013-07,5.523,
2013-10,4.623,
2014-01,4.522,
2014-04,4.299,
2014-07,4.228,
