"",BBK01.OEHB13P,BBK01.OEHB13P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:37,
2002-01,1.535,
2002-04,1.551,
2002-07,1.534,
2002-10,1.545,
2003-01,1.506,
2003-04,1.530,
2003-07,1.544,
2003-10,1.565,
2004-01,1.554,
2004-04,1.554,
2004-07,1.544,
2004-10,1.532,
2005-01,1.521,
2005-04,1.528,
2005-07,1.517,
2005-10,1.522,
2006-01,1.526,
2006-04,1.538,
2006-07,1.531,
2006-10,1.567,
2007-01,1.589,
2007-04,1.592,
2007-07,1.592,
2007-10,1.609,
2008-01,1.622,
2008-04,1.622,
2008-07,1.640,
2008-10,1.645,
2009-01,1.627,
2009-04,1.619,
2009-07,1.664,
2009-10,1.685,
2010-01,1.704,
2010-04,1.711,
2010-07,1.690,
2010-10,1.689,
2011-01,1.682,
2011-04,1.687,
2011-07,1.678,
2011-10,1.676,
2012-01,1.670,
2012-04,1.669,
2012-07,1.697,
2012-10,1.725,
2013-01,1.722,
2013-04,1.731,
2013-07,1.733,
2013-10,1.751,
2014-01,1.744,
2014-04,1.732,
2014-07,1.738,
