"",BBFB1.Q.N.DE.E1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:15,
1991-01,9490.666,
1991-04,7425.607,
1991-07,8637.261,
1991-10,9331.399,
1992-01,10149.851,
1992-04,8370.875,
1992-07,10463.184,
1992-10,7411.943,
1993-01,10678.999,
1993-04,10045.474,
1993-07,8649.994,
1993-10,9797.046,
1994-01,10859.350,
1994-04,10961.424,
1994-07,9079.881,
1994-10,9124.499,
1995-01,10537.995,
1995-04,11433.401,
1995-07,11617.319,
1995-10,12460.493,
1996-01,12643.384,
1996-04,11309.940,
1996-07,11737.156,
1996-10,10804.006,
1997-01,10662.050,
1997-04,13954.063,
1997-07,12884.623,
1997-10,14296.235,
1998-01,14663.625,
1998-04,16472.614,
1998-07,14584.002,
1998-10,15719.513,
1999-01,13269.169,
1999-04,14383.650,
1999-07,13671.770,
1999-10,16350.760,
2000-01,18741.315,
2000-04,18388.097,
2000-07,13822.491,
2000-10,14597.076,
2001-01,21886.803,
2001-04,18460.548,
2001-07,20025.347,
2001-10,21789.687,
2002-01,27358.370,
2002-04,26793.745,
2002-07,26848.183,
2002-10,26251.772,
2003-01,25751.957,
2003-04,24199.690,
2003-07,28824.313,
2003-10,26774.794,
2004-01,32756.290,
2004-04,35478.151,
2004-07,30114.047,
2004-10,29627.067,
2005-01,34309.170,
2005-04,33841.360,
2005-07,32059.021,
2005-10,31400.993,
2006-01,34863.057,
2006-04,33069.329,
2006-07,32491.585,
2006-10,38766.955,
2007-01,47039.989,
2007-04,45515.070,
2007-07,44556.105,
2007-10,45733.968,
2008-01,46158.923,
2008-04,45937.095,
2008-07,36575.284,
2008-10,31023.567,
2009-01,26727.169,
2009-04,26830.589,
2009-07,29094.242,
2009-10,31768.072,
2010-01,30516.549,
2010-04,30458.981,
2010-07,32224.567,
2010-10,33683.585,
2011-01,34781.477,
2011-04,30770.867,
2011-07,30707.209,
2011-10,23819.761,
2012-01,30792.159,
2012-04,28037.902,
2012-07,27861.212,
2012-10,22502.908,
2013-01,29874.376,
2013-04,29481.095,
2013-07,23692.346,
2013-10,21000.978,
2014-01,28169.606,Provisional value
2014-04,25534.758,Provisional value
2014-07,29639.156,Provisional value
