"",BBK01.OECB13R,BBK01.OECB13R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:39,
2002-01,0.576,
2002-04,0.557,
2002-07,0.551,
2002-10,0.547,
2003-01,0.521,
2003-04,0.510,
2003-07,0.532,
2003-10,0.487,
2004-01,0.482,
2004-04,0.476,
2004-07,0.466,
2004-10,0.663,
2005-01,0.692,
2005-04,0.694,
2005-07,0.684,
2005-10,0.675,
2006-01,0.653,
2006-04,0.643,
2006-07,0.630,
2006-10,0.604,
2007-01,0.590,
2007-04,0.578,
2007-07,0.560,
2007-10,0.550,
2008-01,0.536,
2008-04,0.516,
2008-07,0.503,
2008-10,0.490,
2009-01,0.482,
2009-04,0.577,
2009-07,0.567,
2009-10,0.563,
2010-01,0.561,
2010-04,0.554,
2010-07,0.548,
2010-10,0.536,
2011-01,0.537,
2011-04,0.530,
2011-07,0.513,
2011-10,0.505,
2012-01,0.494,
2012-04,0.480,
2012-07,0.478,
2012-10,0.481,
2013-01,0.476,
2013-04,0.478,
2013-07,0.481,
2013-10,0.474,
2014-01,0.471,
2014-04,0.465,
2014-07,0.458,
