"",BBK01.OEHM03N,BBK01.OEHM03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:39,
2002-01,1.273,
2002-04,1.436,
2002-07,1.055,
2002-10,1.237,
2003-01,0.872,
2003-04,0.809,
2003-07,0.787,
2003-10,0.944,
2004-01,0.763,
2004-04,0.734,
2004-07,0.826,
2004-10,0.910,
2005-01,0.740,
2005-04,0.725,
2005-07,0.726,
2005-10,1.004,
2006-01,0.761,
2006-04,0.914,
2006-07,0.957,
2006-10,1.296,
2007-01,0.945,
2007-04,1.305,
2007-07,1.755,
2007-10,1.523,
2008-01,1.487,
2008-04,1.628,
2008-07,1.973,
2008-10,1.892,
2009-01,1.607,
2009-04,1.717,
2009-07,1.522,
2009-10,1.398,
2010-01,1.026,
2010-04,1.226,
2010-07,1.293,
2010-10,1.723,
2011-01,1.502,
2011-04,1.701,
2011-07,1.423,
2011-10,1.669,
2012-01,1.438,
2012-04,1.421,
2012-07,1.194,
2012-10,1.597,
2013-01,1.644,
2013-04,1.515,
2013-07,1.562,
2013-10,1.337,
2014-01,1.251,
2014-04,1.053,
2014-07,1.020,
