"",BBK01.OECI02L,BBK01.OECI02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:27,
2002-01,31.141,
2002-04,38.806,
2002-07,38.676,
2002-10,35.032,
2003-01,40.012,
2003-04,43.821,
2003-07,43.194,
2003-10,35.143,
2004-01,63.443,
2004-04,62.540,
2004-07,68.749,
2004-10,38.362,
2005-01,69.559,
2005-04,66.387,
2005-07,74.098,
2005-10,62.674,
2006-01,82.627,
2006-04,87.325,
2006-07,82.492,
2006-10,74.483,
2007-01,76.391,
2007-04,93.090,
2007-07,87.151,
2007-10,59.863,
2008-01,81.127,
2008-04,66.484,
2008-07,68.525,
2008-10,47.163,
2009-01,56.039,
2009-04,65.189,
2009-07,52.304,
2009-10,48.783,
2010-01,55.882,
2010-04,63.858,
2010-07,59.073,
2010-10,51.774,
2011-01,57.396,
2011-04,60.725,
2011-07,60.387,
2011-10,51.190,
2012-01,65.924,
2012-04,60.716,
2012-07,65.682,
2012-10,59.704,
2013-01,64.173,
2013-04,72.061,
2013-07,65.111,
2013-10,62.263,
2014-01,64.278,
2014-04,67.457,
2014-07,62.764,
