"",BBK01.OUA113,BBK01.OUA113_FLAGS
"",Time deposits of domestic banks (MFIs) (excluding the Bundesbank) / short-therm / All categories of banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:10:19,
1949-06,0.159,
1949-07,0.180,
1949-08,0.150,
1949-09,0.151,
1949-10,0.149,
1949-11,0.148,
1949-12,0.141,
1950-01,0.147,
1950-02,0.180,
1950-03,0.313,
1950-04,0.210,
1950-05,0.265,
1950-06,0.329,
1950-07,0.301,Estimated value
1950-08,0.305,Estimated value
1950-09,0.319,
1950-10,0.323,Estimated value
1950-11,0.293,Estimated value
1950-12,0.263,
1951-01,0.315,Estimated value
1951-02,0.339,Estimated value
1951-03,0.334,
1951-04,0.370,Estimated value
1951-05,0.400,Estimated value
1951-06,0.381,
1951-07,0.417,Estimated value
1951-08,0.383,Estimated value
1951-09,0.465,
1951-10,0.499,Estimated value
1951-11,0.502,Estimated value
1951-12,0.512,Estimated value
1952-01,0.612,Estimated value
1952-02,0.669,
1952-03,0.741,Estimated value
1952-04,0.842,Estimated value
1952-05,0.856,
1952-06,0.886,Estimated value
1952-07,0.939,Estimated value
1952-08,0.939,
1952-09,0.957,Estimated value
1952-10,0.943,Estimated value
1952-11,1.024,
1952-12,1.146,Estimated value
1953-01,1.247,Estimated value
1953-02,1.361,
1953-03,1.429,Estimated value
1953-04,1.474,Estimated value
1953-05,1.563,
1953-06,1.567,Estimated value
1953-07,1.568,Estimated value
1953-08,1.487,
1953-09,1.502,Estimated value
1953-10,1.580,Estimated value
1953-11,1.573,
1953-12,1.412,Estimated value
1954-01,1.628,Estimated value
1954-02,1.712,
1954-03,1.788,Estimated value
1954-04,1.926,Estimated value
1954-05,1.959,
1954-06,1.967,Estimated value
1954-07,2.088,Estimated value
1954-08,2.266,
1954-09,2.284,Estimated value
1954-10,2.298,Estimated value
1954-11,2.277,
1954-12,2.105,Estimated value
1955-01,2.529,Estimated value
1955-02,2.700,
1955-03,2.818,Estimated value
