"",BBK01.OEYI05T,BBK01.OEYI05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:06,
2002-01,0.165,
2002-04,0.208,
2002-07,0.211,
2002-10,0.241,
2003-01,0.238,
2003-04,0.228,
2003-07,0.223,
2003-10,0.049,
2004-01,0.210,
2004-04,0.221,
2004-07,0.050,
2004-10,0.007,
2005-01,0.007,
2005-04,0.005,
2005-07,0.017,
2005-10,0.018,
2006-01,0.022,
2006-04,0.043,
2006-07,0.043,
2006-10,0.089,
2007-01,0.130,
2007-04,0.131,
2007-07,0.129,
2007-10,0.174,
2008-01,0.174,
2008-04,0.187,
2008-07,0.189,
2008-10,0.147,
2009-01,0.186,
2009-04,0.063,
2009-07,0.077,
2009-10,0.081,
2010-01,0.078,
2010-04,0.089,
2010-07,0.099,
2010-10,0.097,
2011-01,0.102,
2011-04,0.101,
2011-07,0.101,
2011-10,0.124,
2012-01,0.129,
2012-04,0.121,
2012-07,0.121,
2012-10,0.135,
2013-01,0.139,
2013-04,0.143,
2013-07,0.164,
2013-10,0.164,
2014-01,0.184,
2014-04,0.196,
2014-07,0.201,
