"",BBK01.OELB24M,BBK01.OELB24M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:14,
2002-01,0.053,
2002-04,0.074,
2002-07,0.129,
2002-10,0.127,
2003-01,0.089,
2003-04,0.109,
2003-07,0.123,
2003-10,0.124,
2004-01,0.124,
2004-04,0.123,
2004-07,0.123,
2004-10,0.113,
2005-01,0.105,
2005-04,0.097,
2005-07,0.098,
2005-10,0.099,
2006-01,0.098,
2006-04,0.220,
2006-07,0.228,
2006-10,0.227,
2007-01,0.229,
2007-04,0.228,
2007-07,0.230,
2007-10,0.229,
2008-01,0.231,
2008-04,0.216,
2008-07,0.217,
2008-10,0.217,
2009-01,0.217,
2009-04,0.213,
2009-07,0.215,
2009-10,0.216,
2010-01,0.215,
2010-04,0.203,
2010-07,0.203,
2010-10,0.200,
2011-01,0.202,
2011-04,0.203,
2011-07,0.205,
2011-10,0.204,
2012-01,0.203,
2012-04,0.192,
2012-07,0.201,
2012-10,0.203,
2013-01,0.206,
2013-04,0.209,
2013-07,0.227,
2013-10,0.239,
2014-01,0.254,
2014-04,0.269,
2014-07,0.275,
