"",BBFN1.M.DE.N.1.A.DK.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.DK.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Total / Denmark,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:05,
1975-12,0.002,
1976-01,0.002,
1976-02,0.003,
1976-03,0.002,
1976-04,0.002,
1976-05,0.001,
1976-06,0.002,
1976-07,0.002,
1976-08,0.002,
1976-09,0.001,
1976-10,0.004,
1976-11,0.005,
1976-12,0.002,
1977-01,0.002,
1977-02,0.003,
1977-03,0.002,
1977-04,0.003,
1977-05,0.003,
1977-06,0.004,
1977-07,0.003,
1977-08,0.003,
1977-09,0.003,
1977-10,0.004,
1977-11,0.003,
1977-12,0.003,
1978-01,0.003,
1978-02,0.002,
1978-03,0.003,
1978-04,0.003,
1978-05,0.002,
1978-06,0.003,
1978-07,0.003,
1978-08,0.004,
1978-09,0.003,
1978-10,0.004,
1978-11,0.004,
1978-12,0.005,
1979-01,0.004,
1979-02,0.004,
1979-03,0.004,
1979-04,0.004,
1979-05,0.005,
1979-06,0.005,
1979-07,0.004,
1979-08,0.005,
1979-09,0.005,
1979-10,0.006,
1979-11,0.006,
1979-12,0.008,
1980-01,0.007,
1980-02,0.004,
1980-03,0.004,
1980-04,0.005,
1980-05,0.005,
1980-06,0.005,
1980-07,0.007,
1980-08,0.005,
1980-09,0.005,
1980-10,0.005,
1980-11,0.004,
1980-12,0.006,
1981-01,0.003,
1981-02,0.004,
1981-03,0.003,
1981-04,0.004,
1981-05,0.005,
1981-06,0.004,
1981-07,0.004,
1981-08,0.004,
1981-09,0.003,
1981-10,0.005,
1981-11,0.004,
1981-12,0.009,
1982-01,0.009,
1982-02,0.010,
1982-03,0.006,
1982-04,0.006,
1982-05,0.008,
1982-06,0.006,
1982-07,0.006,
1982-08,0.008,
1982-09,0.004,
1982-10,0.006,
1982-11,0.006,
1982-12,0.005,
1983-01,0.005,
1983-02,0.005,
1983-03,0.004,
1983-04,0.005,
1983-05,0.006,
1983-06,0.005,
1983-07,0.005,
1983-08,0.006,
1983-09,0.007,
1983-10,0.006,
1983-11,0.008,
1983-12,0.007,
1984-01,0.007,
1984-02,0.010,
1984-03,0.006,
1984-04,0.007,
1984-05,0.007,
1984-06,0.006,
1984-07,0.009,
1984-08,0.005,
1984-09,0.004,
1984-10,0.007,
1984-11,0.008,
1984-12,0.008,
1985-01,0.009,
1985-02,0.010,
1985-03,0.007,
1985-04,0.011,
1985-05,0.008,
1985-06,0.006,
1985-07,0.008,
1985-08,0.006,
1985-09,0.009,
1985-10,0.008,
1985-11,0.013,
1985-12,0.012,
1986-01,0.006,
1986-02,0.014,
1986-03,0.034,
1986-04,0.052,
1986-05,0.053,
1986-06,0.015,
1986-07,0.036,
1986-08,0.032,
1986-09,0.028,
1986-10,0.035,
1986-11,0.039,
1986-12,0.060,
1987-01,0.074,
1987-02,0.047,
1987-03,0.026,
1987-04,0.022,
1987-05,0.021,
1987-06,0.043,
1987-07,0.055,
1987-08,0.032,
1987-09,0.038,
1987-10,0.025,
1987-11,0.020,
1987-12,0.018,
1988-01,0.009,
1988-02,0.020,
1988-03,0.019,
1988-04,0.007,
1988-05,0.018,
1988-06,0.036,
1988-07,0.039,
1988-08,0.030,
1988-09,0.062,
1988-10,0.057,
1988-11,0.053,
1988-12,0.035,
1989-01,0.033,
1989-02,0.029,
1989-03,0.020,
1989-04,0.037,
1989-05,0.082,
1989-06,0.087,
1989-07,0.097,
1989-08,0.047,
1989-09,0.063,
1989-10,0.066,
1989-11,0.090,
1989-12,0.035,
1990-01,0.053,
1990-02,0.053,
1990-03,0.028,
1990-04,0.038,
1990-05,0.046,
1990-06,0.019,
1990-07,0.028,
1990-08,0.044,
1990-09,0.034,
1990-10,0.038,
1990-11,0.035,
1990-12,0.028,
1991-01,0.076,
1991-02,0.070,
1991-03,0.069,
1991-04,0.035,
1991-05,0.061,
1991-06,0.068,
1991-07,0.054,
1991-08,0.028,
1991-09,0.033,
1991-10,0.038,
1991-11,0.051,
1991-12,0.073,
1992-01,0.042,
1992-02,0.080,
1992-03,0.107,
1992-04,0.095,
1992-05,0.105,
1992-06,0.057,
1992-07,0.053,
1992-08,0.041,
1992-09,0.027,
1992-10,0.033,
1992-11,0.052,
1992-12,0.100,
1993-01,0.106,
1993-02,0.112,
1993-03,0.156,
1993-04,0.125,
1993-05,0.112,
1993-06,0.092,
1993-07,0.109,
1993-08,0.146,
1993-09,0.130,
1993-10,0.160,
1993-11,0.179,
1993-12,0.211,
1994-01,0.138,
1994-02,0.165,
1994-03,0.181,
1994-04,0.163,
1994-05,0.177,
1994-06,0.158,
1994-07,0.163,
1994-08,0.119,
1994-09,0.097,
1994-10,0.100,
1994-11,0.082,
1994-12,0.078,
1995-01,0.107,
1995-02,0.099,
1995-03,0.110,
1995-04,0.047,
1995-05,0.052,
1995-06,0.042,
1995-07,0.054,
1995-08,0.052,
1995-09,0.048,
1995-10,0.063,
1995-11,0.057,
1995-12,0.057,
1996-01,0.069,
1996-02,0.061,
1996-03,0.046,
1996-04,0.043,
1996-05,0.061,
1996-06,0.078,
1996-07,0.107,
1996-08,0.177,
1996-09,0.146,
1996-10,0.311,
1996-11,0.239,
1996-12,0.126,
1997-01,0.141,
1997-02,0.365,
1997-03,0.196,
1997-04,0.258,
1997-05,0.228,
1997-06,0.134,
1997-07,0.202,
1997-08,0.133,
1997-09,0.070,
1997-10,0.073,
1997-11,0.205,
1997-12,0.057,
1998-01,0.095,
1998-02,0.106,
1998-03,0.101,
1998-04,0.140,
1998-05,0.168,
1998-06,0.083,
1998-07,0.128,
1998-08,0.081,
1998-09,0.064,
1998-10,0.170,
1998-11,0.166,
1998-12,0.051,
1999-01,0.050,
1999-02,0.080,
1999-03,0.105,
1999-04,0.082,
1999-05,0.190,
1999-06,0.193,
1999-07,0.236,
1999-08,0.239,
1999-09,0.125,
1999-10,0.108,
1999-11,0.183,
1999-12,0.101,
2000-01,0.051,
2000-02,0.049,
2000-03,0.060,
2000-04,0.040,
2000-05,0.066,
2000-06,0.066,
2000-07,0.066,
2000-08,0.072,
2000-09,0.051,
2000-10,0.066,
2000-11,0.042,
2000-12,0.070,
2001-01,0.050,
2001-02,0.031,
2001-03,0.030,
2001-04,0.057,
2001-05,0.039,
2001-06,0.059,
2001-07,0.033,
2001-08,0.030,
2001-09,0.039,
2001-10,0.174,
2001-11,0.213,
2001-12,0.053,
2002-01,0.201,
2002-02,0.209,
2002-03,0.047,
2002-04,0.083,
2002-05,0.070,
2002-06,0.061,
2002-07,0.067,
2002-08,0.268,
2002-09,0.436,
2002-10,0.270,
2002-11,0.833,
2002-12,0.860,
2003-01,0.537,
2003-02,0.593,
2003-03,0.153,
2003-04,0.655,
2003-05,0.305,
2003-06,0.533,
2003-07,0.400,
2003-08,0.304,
2003-09,0.164,
2003-10,0.086,
2003-11,0.488,
