"",BBK01.OEAM03N,BBK01.OEAM03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:24,
2002-01,8.069,
2002-04,7.317,
2002-07,6.220,
2002-10,5.425,
2003-01,6.384,
2003-04,6.626,
2003-07,6.500,
2003-10,6.462,
2004-01,5.767,
2004-04,7.210,
2004-07,6.068,
2004-10,5.437,
2005-01,5.523,
2005-04,5.881,
2005-07,5.595,
2005-10,6.693,
2006-01,7.305,
2006-04,11.805,
2006-07,10.895,
2006-10,11.678,
2007-01,11.736,
2007-04,13.323,
2007-07,12.403,
2007-10,15.551,
2008-01,14.652,
2008-04,15.237,
2008-07,15.949,
2008-10,17.802,
2009-01,16.537,
2009-04,20.656,
2009-07,15.989,
2009-10,14.754,
2010-01,15.611,
2010-04,17.645,
2010-07,19.229,
2010-10,19.525,
2011-01,20.206,
2011-04,23.739,
2011-07,26.684,
2011-10,25.767,
2012-01,34.296,
2012-04,44.928,
2012-07,45.996,
2012-10,19.440,
2013-01,18.796,
2013-04,19.069,
2013-07,19.180,
2013-10,17.907,
2014-01,15.305,
2014-04,15.405,
2014-07,14.320,
