"",BBK01.OEAL06I,BBK01.OEAL06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:28,
2002-01,0.989,
2002-04,0.996,
2002-07,0.998,
2002-10,1.010,
2003-01,0.971,
2003-04,1.052,
2003-07,0.935,
2003-10,0.909,
2004-01,0.880,
2004-04,0.856,
2004-07,0.835,
2004-10,0.796,
2005-01,0.798,
2005-04,0.781,
2005-07,0.775,
2005-10,0.752,
2006-01,0.723,
2006-04,0.719,
2006-07,0.731,
2006-10,0.710,
2007-01,0.695,
2007-04,0.716,
2007-07,0.726,
2007-10,0.786,
2008-01,0.843,
2008-04,0.903,
2008-07,0.950,
2008-10,1.055,
2009-01,1.104,
2009-04,0.983,
2009-07,0.881,
2009-10,0.783,
2010-01,0.809,
2010-04,0.945,
2010-07,1.001,
2010-10,1.103,
2011-01,1.168,
2011-04,1.268,
2011-07,1.312,
2011-10,1.312,
2012-01,1.257,
2012-04,1.266,
2012-07,1.245,
2012-10,1.136,
2013-01,1.019,
2013-04,0.870,
2013-07,0.843,
2013-10,0.826,
2014-01,0.798,
2014-04,0.727,
2014-07,0.674,
