"",BBK01.OECL01P,BBK01.OECL01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:22,
2002-01,0.344,
2002-04,0.331,
2002-07,0.322,
2002-10,0.332,
2003-01,0.303,
2003-04,0.302,
2003-07,0.322,
2003-10,0.325,
2004-01,0.317,
2004-04,0.327,
2004-07,0.342,
2004-10,0.379,
2005-01,0.866,
2005-04,0.870,
2005-07,0.868,
2005-10,0.864,
2006-01,0.848,
2006-04,0.836,
2006-07,0.811,
2006-10,0.824,
2007-01,0.836,
2007-04,0.859,
2007-07,0.891,
2007-10,0.944,
2008-01,0.955,
2008-04,0.986,
2008-07,1.056,
2008-10,1.148,
2009-01,1.155,
2009-04,1.171,
2009-07,1.258,
2009-10,1.236,
2010-01,1.165,
2010-04,1.140,
2010-07,1.122,
2010-10,1.132,
2011-01,1.098,
2011-04,1.078,
2011-07,1.089,
2011-10,1.097,
2012-01,1.153,
2012-04,1.146,
2012-07,1.137,
2012-10,1.151,
2013-01,1.136,
2013-04,1.140,
2013-07,1.112,
2013-10,1.115,
2014-01,1.128,
2014-04,1.085,
2014-07,1.090,
