"",BBSF2.M.1.P.00000.GEM01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEM01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed securities funds / Net asset value,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:57,
1992-01,2880,
1992-02,2936,
1992-03,2891,
1992-04,2899,
1992-05,2924,
1992-06,2842,
1992-07,2739,
1992-08,2634,
1992-09,2589,
1992-10,2622,
1992-11,2614,
1992-12,2611,
1993-01,2638,
1993-02,2748,
1993-03,2803,
1993-04,2816,
1993-05,2867,
1993-06,3146,
1993-07,3241,
1993-08,3378,
1993-09,3393,
1993-10,3658,
1993-11,3900,
1993-12,4242,
1994-01,4870,
1994-02,5061,
1994-03,5275,
1994-04,5494,
1994-05,5387,
1994-06,5298,
1994-07,5462,
1994-08,5519,
1994-09,5282,
1994-10,5238,
1994-11,5444,
1994-12,5599,
1995-01,5520,
1995-02,5452,
1995-03,5270,
1995-04,5316,
1995-05,5367,
1995-06,5268,
1995-07,5336,
1995-08,5400,
1995-09,5316,
1995-10,5359,
1995-11,5402,
1995-12,5562,
1996-01,5681,
1996-02,5558,
1996-03,5630,
1996-04,5766,
1996-05,5786,
1996-06,5808,
1996-07,5662,
1996-08,5782,
1996-09,5974,
1996-10,6034,
1996-11,6232,
1996-12,6340,
1997-01,6591,
1997-02,6870,
1997-03,6962,
1997-04,7080,
1997-05,7425,
1997-06,7827,
1997-07,8518,
1997-08,8072,
1997-09,8442,
1997-10,8201,
1997-11,8415,
1997-12,8711,
1998-01,9076,
1998-02,9989,
1998-03,10974,
1998-04,11269,
1998-05,11814,
1998-06,12125,
1998-07,12343,
1998-08,11386,
1998-09,11011,
1998-10,11333,
1998-11,12324,
1998-12,12617,
1999-01,13468,
1999-02,13560,
1999-03,13898,
1999-04,14844,
1999-05,14747,
1999-06,15402,
1999-07,15367,
1999-08,15796,
1999-09,15546,
1999-10,16483,
1999-11,18006,
1999-12,20134,
2000-01,20369,
2000-02,22769,
2000-03,23181,
2000-04,23840,
2000-05,23653,
2000-06,23852,
2000-07,24530,
2000-08,25718,
2000-09,25343,
2000-10,25895,
2000-11,24576,
2000-12,24437,
2001-01,24968,
2001-02,23204,
2001-03,22549,
2001-04,23265,
2001-05,22907,
2001-06,22389,
2001-07,21901,
2001-08,20931,
2001-09,18950,
2001-10,19669,
2001-11,20552,
2001-12,20998,
2002-01,20881,
2002-02,20618,
2002-03,21249,
2002-04,20503,
2002-05,20581,
2002-06,19537,
2002-07,18557,
2002-08,18468,
2002-09,16797,
2002-10,17291,
2002-11,17558,
2002-12,16468,
2003-01,15605,
2003-02,15158,
2003-03,14838,
2003-04,15616,
2003-05,15875,
2003-06,16567,
2003-07,16954,
2003-08,17712,
2003-09,17352,
2003-10,17802,
2003-11,17947,
2003-12,18497,
2004-01,18658,
2004-02,19189,
2004-03,19225,
2004-04,19441,
2004-05,19302,
2004-06,19482,
2004-07,19300,
2004-08,19303,
2004-09,19834,
2004-10,19764,
2004-11,19968,
2004-12,20174,
2005-01,20246,
2005-02,20674,
2005-03,20202,
2005-04,19985,
2005-05,20576,
2005-06,21651,
2005-07,22478,
2005-08,22422,
2005-09,23208,
2005-10,22983,
2005-11,23700,
2005-12,24253,
2006-01,25155,
2006-02,25676,
2006-03,26033,
2006-04,25994,
2006-05,25299,
2006-06,25218,
2006-07,27341,
2006-08,27642,
2006-09,28390,
2006-10,28757,
2006-11,28801,
2006-12,29277,
2007-01,29657,
2007-02,29737,
2007-03,29806,
2007-04,32411,
2007-05,33332,
2007-06,33140,
2007-07,33152,
2007-08,32905,
2007-09,34027,
2007-10,35515,
2007-11,34823,
2007-12,35235,
2008-01,33141,
2008-02,33970,
2008-03,33071,
2008-04,33619,
2008-05,34234,
2008-06,32154,
2008-07,32058,
2008-08,32474,
2008-09,30833,
2008-10,27407,
2008-11,26464,
2008-12,29485,
2009-01,29299,
2009-02,28261,
2009-03,27858,
2009-04,27221,
2009-05,25711,
2009-06,25825,
2009-07,26691,
2009-08,27351,
2009-09,25186,
2009-10,25067,
2009-11,25420,
2009-12,26607,
2010-01,26984,
2010-02,27640,
2010-03,28894,
2010-04,29341,
2010-05,29363,
2010-06,29706,
2010-07,30340,
2010-08,31276,
2010-09,31805,
2010-10,32869,
2010-11,33563,
2010-12,33519,
2011-01,33814,
2011-02,34313,
2011-03,33947,
2011-04,34160,
2011-05,34296,
2011-06,33876,
2011-07,33812,
2011-08,31288,
2011-09,30456,
2011-10,31155,
2011-11,30091,
2011-12,29634,
2012-01,30944,
2012-02,31211,
2012-03,31258,
2012-04,31101,
2012-05,30784,
2012-06,30445,
2012-07,31226,
2012-08,31422,
2012-09,31890,
2012-10,31996,
2012-11,32678,
2012-12,33005,
2013-01,34119,
2013-02,35163,
2013-03,35587,
2013-04,36450,
2013-05,36692,
2013-06,36314,
2013-07,38418,
2013-08,38228,
2013-09,39515,
2013-10,41765,
2013-11,38465,
2013-12,39214,
2014-01,39956,
2014-02,42290,
2014-03,42395,
2014-04,42769,
2014-05,43724,
2014-06,43720,
2014-07,44601,
2014-08,49399,
2014-09,48091,
2014-10,48317,
2014-11,48366,
