"",BBFB1.Q.N.DE.CN.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:15,
1991-01,15.101,
1991-04,15.101,
1991-07,15.101,
1991-10,15.101,
1992-01,-4.324,
1992-04,-4.324,
1992-07,-4.324,
1992-10,-4.324,
1993-01,8.656,
1993-04,8.656,
1993-07,8.656,
1993-10,8.656,
1994-01,-2.634,
1994-04,-3.385,
1994-07,-2.634,
1994-10,-2.634,
1995-01,16.661,
1995-04,17.380,
1995-07,16.718,
1995-10,17.380,
1996-01,6.998,
1996-04,6.934,
1996-07,6.998,
1996-10,6.101,
1997-01,50.873,
1997-04,50.421,
1997-07,50.873,
1997-10,50.873,
1998-01,12.783,
1998-04,10.902,
1998-07,12.282,
1998-10,12.783,
1999-01,16.774,
1999-04,14.103,
1999-07,18.000,
1999-10,21.000,
2000-01,38.981,
2000-04,36.304,
2000-07,35.095,
2000-10,36.000,
2001-01,-10.736,
2001-04,66.121,
2001-07,72.046,
2001-10,22.634,
2002-01,-15.580,
2002-04,-37.122,
2002-07,57.391,
2002-10,12.675,
2003-01,-30.883,
2003-04,92.170,
2003-07,44.690,
2003-10,147.526,
2004-01,33.747,
2004-04,128.825,
2004-07,-58.154,
2004-10,176.752,
2005-01,71.185,
2005-04,-13.184,
2005-07,70.793,
2005-10,-92.905,
2006-01,123.184,
2006-04,87.040,
2006-07,24.892,
2006-10,42.292,
2007-01,396.726,
2007-04,123.858,
2007-07,93.302,
2007-10,-303.953,
2008-01,614.283,
2008-04,141.353,
2008-07,-56.738,
2008-10,-46.510,
2009-01,500.063,
2009-04,491.205,
2009-07,420.132,
2009-10,490.229,
2010-01,842.445,
2010-04,223.387,
2010-07,915.689,
2010-10,821.341,
2011-01,1327.168,
2011-04,963.237,
2011-07,1180.867,
2011-10,1077.087,
2012-01,1357.734,
2012-04,-243.015,
2012-07,1170.596,
2012-10,1028.174,
2013-01,1783.730,
2013-04,312.681,
2013-07,1129.111,
2013-10,1532.334,
2014-01,1583.139,Provisional value
2014-04,-187.498,Provisional value
2014-07,1402.979,Provisional value
2014-10,1522.028,Provisional value
