"",BBDE1.M.DE.W.AEM1.A2P340000.F.V.I10.A,BBDE1.M.DE.W.AEM1.A2P340000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, total / At current prices, flows / Germany / Non-durable goods / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:53,
2010-01,101.5,
2010-02,103.0,
2010-03,106.9,
2010-04,91.4,
2010-05,94.1,
2010-06,97.6,
2010-07,105.8,
2010-08,103.5,
2010-09,101.2,
2010-10,100.5,
2010-11,99.6,
2010-12,90.0,
2011-01,101.8,
2011-02,112.1,
2011-03,108.9,
2011-04,97.6,
2011-05,97.9,
2011-06,98.2,
2011-07,113.5,
2011-08,105.1,
2011-09,103.4,
2011-10,104.1,
2011-11,103.0,
2011-12,91.5,
2012-01,102.9,
2012-02,109.5,
2012-03,113.4,
2012-04,94.4,
2012-05,101.0,
2012-06,102.8,
2012-07,113.1,
2012-08,109.4,
2012-09,105.6,
2012-10,109.7,
2012-11,106.1,
2012-12,95.7,
2013-01,102.7,
2013-02,111.6,
2013-03,108.9,
2013-04,102.7,
2013-05,102.0,
2013-06,100.2,
2013-07,116.0,
2013-08,107.9,
2013-09,112.2,
2013-10,112.8,
2013-11,114.6,
2013-12,97.0,
2014-01,116.7,
2014-02,123.5,
2014-03,113.4,
2014-04,106.9,
2014-05,108.7,
2014-06,109.5,
2014-07,119.4,
2014-08,116.8,
2014-09,114.4,
2014-10,116.8,
2014-11,116.5,
2014-12,99.5,Provisional value
