"",BBK01.OEHB07H,BBK01.OEHB07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:12,
2002-01,4.968,
2002-04,4.980,
2002-07,5.029,
2002-10,5.025,
2003-01,4.951,
2003-04,5.019,
2003-07,5.074,
2003-10,5.099,
2004-01,5.052,
2004-04,5.099,
2004-07,5.093,
2004-10,5.015,
2005-01,4.890,
2005-04,4.928,
2005-07,4.942,
2005-10,4.921,
2006-01,4.824,
2006-04,4.750,
2006-07,4.718,
2006-10,4.655,
2007-01,4.670,
2007-04,4.663,
2007-07,4.517,
2007-10,4.411,
2008-01,4.206,
2008-04,4.072,
2008-07,4.198,
2008-10,4.405,
2009-01,4.418,
2009-04,4.610,
2009-07,4.865,
2009-10,4.996,
2010-01,5.042,
2010-04,5.204,
2010-07,5.411,
2010-10,5.581,
2011-01,5.657,
2011-04,5.746,
2011-07,5.816,
2011-10,5.879,
2012-01,6.003,
2012-04,6.093,
2012-07,6.247,
2012-10,6.326,
2013-01,6.326,
2013-04,6.412,
2013-07,6.500,
2013-10,6.448,
2014-01,6.378,
2014-04,6.442,
2014-07,6.539,
