"",BBK01.OEHI03L,BBK01.OEHI03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:39,
2002-01,5.379,
2002-04,5.532,
2002-07,5.442,
2002-10,5.315,
2003-01,4.932,
2003-04,4.848,
2003-07,4.473,
2003-10,4.239,
2004-01,3.849,
2004-04,3.610,
2004-07,3.575,
2004-10,3.529,
2005-01,3.374,
2005-04,3.322,
2005-07,3.237,
2005-10,3.409,
2006-01,3.529,
2006-04,3.853,
2006-07,4.208,
2006-10,4.551,
2007-01,5.102,
2007-04,5.311,
2007-07,5.687,
2007-10,6.011,
2008-01,6.727,
2008-04,7.189,
2008-07,8.213,
2008-10,8.448,
2009-01,6.691,
2009-04,5.756,
2009-07,4.615,
2009-10,4.075,
2010-01,3.583,
2010-04,3.443,
2010-07,3.244,
2010-10,2.897,
2011-01,3.076,
2011-04,3.340,
2011-07,3.580,
2011-10,3.724,
2012-01,3.515,
2012-04,3.370,
2012-07,3.176,
2012-10,2.748,
2013-01,2.454,
2013-04,2.567,
2013-07,2.624,
2013-10,2.614,
2014-01,2.449,
2014-04,2.564,
2014-07,2.320,
