"",BBK01.OEHK02K,BBK01.OEHK02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:30,
2002-01,0.416,
2002-04,0.460,
2002-07,0.452,
2002-10,0.484,
2003-01,0.517,
2003-04,0.490,
2003-07,0.516,
2003-10,0.514,
2004-01,0.534,
2004-04,0.473,
2004-07,0.554,
2004-10,0.547,
2005-01,0.555,
2005-04,0.586,
2005-07,0.611,
2005-10,0.658,
2006-01,0.647,
2006-04,0.663,
2006-07,0.650,
2006-10,0.748,
2007-01,0.750,
2007-04,0.821,
2007-07,0.817,
2007-10,0.838,
2008-01,0.790,
2008-04,0.757,
2008-07,0.788,
2008-10,0.947,
2009-01,1.640,
2009-04,1.645,
2009-07,1.743,
2009-10,1.791,
2010-01,1.773,
2010-04,1.840,
2010-07,1.930,
2010-10,1.914,
2011-01,1.857,
2011-04,1.831,
2011-07,1.824,
2011-10,1.913,
2012-01,1.983,
2012-04,2.099,
2012-07,2.169,
2012-10,2.261,
2013-01,2.170,
2013-04,2.283,
2013-07,2.321,
2013-10,2.353,
2014-01,2.389,
2014-04,2.410,
2014-07,2.470,
