"",BBSF2.M.1.T.00000.DGW01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DGW01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Mixed securities funds / Loans received,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:44,
2009-09,1,
2009-10,1,
2009-11,0,
2009-12,0,
2010-01,3,
2010-02,0,
2010-03,3,
2010-04,8,
2010-05,4,
2010-06,2,
2010-07,10,
2010-08,3,
2010-09,523,
2010-10,1,
2010-11,10,
2010-12,7,
2011-01,3,
2011-02,16,
2011-03,49,
2011-04,19,
2011-05,5,
2011-06,28,
2011-07,27,
2011-08,11,
2011-09,6,
2011-10,10,
2011-11,1,
2011-12,7,
2012-01,19,
2012-02,15,
2012-03,4,
2012-04,3,
2012-05,4,
2012-06,0,
2012-07,192,
2012-08,3,
2012-09,1,
2012-10,2,
2012-11,2,
2012-12,4,
2013-01,3,
2013-02,0,
2013-03,2,
2013-04,0,
2013-05,1,
2013-06,1,
2013-07,2,
2013-08,18,
2013-09,5,
2013-10,0,
2013-11,1,
2013-12,0,
2014-01,0,
2014-02,7,
2014-03,1,
2014-04,5,
2014-05,0,
2014-06,1,
2014-07,0,
2014-08,0,
2014-09,0,
2014-10,4,
2014-11,1,
