"",BBK01.OEXM04H,BBK01.OEXM04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:48,
2002-01,1.057,
2002-04,1.061,
2002-07,1.015,
2002-10,1.015,
2003-01,0.896,
2003-04,0.760,
2003-07,0.458,
2003-10,0.578,
2004-01,0.396,
2004-04,0.495,
2004-07,0.456,
2004-10,0.518,
2005-01,0.395,
2005-04,0.316,
2005-07,0.341,
2005-10,0.423,
2006-01,0.318,
2006-04,0.422,
2006-07,0.441,
2006-10,0.607,
2007-01,0.642,
2007-04,0.651,
2007-07,0.673,
2007-10,0.716,
2008-01,0.616,
2008-04,0.544,
2008-07,0.630,
2008-10,0.584,
2009-01,0.515,
2009-04,0.606,
2009-07,0.561,
2009-10,0.601,
2010-01,0.422,
2010-04,0.429,
2010-07,0.633,
2010-10,0.652,
2011-01,0.431,
2011-04,0.506,
2011-07,0.487,
2011-10,0.582,
2012-01,0.538,
2012-04,0.581,
2012-07,0.559,
2012-10,0.528,
2013-01,1.015,
2013-04,1.023,
2013-07,1.099,
2013-10,1.138,
2014-01,1.324,
2014-04,1.218,
2014-07,1.451,
