"",BBFB1.Q.N.DE.SI.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:43,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,0.500,
1992-07,2.552,
1992-10,3.725,
1993-01,3.898,
1993-04,14.984,
1993-07,13.981,
1993-10,15.394,
1994-01,14.405,
1994-04,14.221,
1994-07,14.278,
1994-10,14.827,
1995-01,14.337,
1995-04,14.280,
1995-07,14.776,
1995-10,14.098,
1996-01,11.152,
1996-04,11.565,
1996-07,12.718,
1996-10,17.225,
1997-01,15.348,
1997-04,17.121,
1997-07,17.368,
1997-10,16.422,
1998-01,15.919,
1998-04,15.428,
1998-07,16.683,
1998-10,16.505,
1999-01,16.548,
1999-04,17.975,
1999-07,17.534,
1999-10,20.386,
2000-01,21.840,
2000-04,20.235,
2000-07,22.885,
2000-10,22.340,
2001-01,19.366,
2001-04,21.694,
2001-07,21.597,
2001-10,21.994,
2002-01,19.469,
2002-04,19.649,
2002-07,18.463,
2002-10,20.035,
2003-01,18.849,
2003-04,18.756,
2003-07,19.399,
2003-10,19.831,
2004-01,17.313,
2004-04,17.376,
2004-07,18.104,
2004-10,18.046,
2005-01,17.319,
2005-04,17.512,
2005-07,18.140,
2005-10,18.006,
2006-01,16.505,
2006-04,18.001,
2006-07,18.370,
2006-10,19.338,
2007-01,18.085,
2007-04,18.028,
2007-07,19.231,
2007-10,20.006,
2008-01,20.000,
2008-04,22.951,
2008-07,20.360,
2008-10,20.674,
2009-01,25.529,
2009-04,24.984,
2009-07,25.879,
2009-10,25.528,
2010-01,27.497,
2010-04,31.536,
2010-07,38.057,
2010-10,32.020,
2011-01,23.505,
2011-04,24.128,
2011-07,25.527,
2011-10,24.954,
2012-01,25.221,
2012-04,35.567,
2012-07,27.583,
2012-10,35.736,
2013-01,27.929,
2013-04,29.159,
2013-07,19.510,
2013-10,43.714,
2014-01,25.939,Provisional value
2014-04,51.112,Provisional value
2014-07,25.719,Provisional value
