"",BBK01.OEAE12U,BBK01.OEAE12U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:21,
2002-01,0.064,
2002-04,0.054,
2002-07,0.059,
2002-10,0.020,
2003-01,0.024,
2003-04,0.023,
2003-07,0.030,
2003-10,0.020,
2004-01,0.012,
2004-04,0.020,
2004-07,0.018,
2004-10,0.020,
2005-01,0.020,
2005-04,0.040,
2005-07,0.048,
2005-10,0.040,
2006-01,0.037,
2006-04,0.026,
2006-07,0.034,
2006-10,0.038,
2007-01,0.032,
2007-04,0.026,
2007-07,0.038,
2007-10,0.025,
2008-01,0.027,
2008-04,0.011,
2008-07,0.011,
2008-10,0.030,
2009-01,0.023,
2009-04,0.020,
2009-07,0.021,
2009-10,0.020,
2010-01,0.017,
2010-04,0.019,
2010-07,0.011,
2010-10,0.016,
2011-01,0.013,
2011-04,0.017,
2011-07,0.020,
2011-10,0.017,
2012-01,0.015,
2012-04,0.011,
2012-07,0.009,
2012-10,0.009,
2013-01,0.008,
2013-04,0.009,
2013-07,0.016,
2013-10,0.011,
2014-01,0.012,
2014-04,0.012,
2014-07,0.013,
