"",BBK01.OEAD04P,BBK01.OEAD04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:57,
2002-01,0.055,
2002-04,0.061,
2002-07,0.048,
2002-10,0.038,
2003-01,0.038,
2003-04,0.044,
2003-07,0.036,
2003-10,0.033,
2004-01,0.035,
2004-04,0.041,
2004-07,0.046,
2004-10,0.051,
2005-01,0.055,
2005-04,0.057,
2005-07,0.057,
2005-10,0.058,
2006-01,0.056,
2006-04,0.067,
2006-07,0.061,
2006-10,0.061,
2007-01,0.061,
2007-04,0.087,
2007-07,0.057,
2007-10,0.070,
2008-01,0.066,
2008-04,0.080,
2008-07,0.061,
2008-10,0.063,
2009-01,0.067,
2009-04,0.068,
2009-07,0.075,
2009-10,0.081,
2010-01,0.084,
2010-04,0.083,
2010-07,0.077,
2010-10,0.080,
2011-01,0.087,
2011-04,0.084,
2011-07,0.083,
2011-10,0.085,
2012-01,0.089,
2012-04,0.084,
2012-07,0.075,
2012-10,0.073,
2013-01,0.078,
2013-04,0.076,
2013-07,0.067,
2013-10,0.068,
2014-01,0.072,
2014-04,0.068,
2014-07,0.065,
