"",BBK01.OEAF36I,BBK01.OEAF36I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:42,
2002-01,2.123,
2002-04,2.261,
2002-07,2.320,
2002-10,2.244,
2003-01,2.392,
2003-04,2.487,
2003-07,2.184,
2003-10,2.245,
2004-01,2.275,
2004-04,2.331,
2004-07,2.367,
2004-10,2.357,
2005-01,2.572,
2005-04,2.551,
2005-07,2.654,
2005-10,2.666,
2006-01,2.683,
2006-04,2.729,
2006-07,2.784,
2006-10,2.751,
2007-01,2.771,
2007-04,2.825,
2007-07,2.862,
2007-10,2.875,
2008-01,2.966,
2008-04,3.448,
2008-07,3.533,
2008-10,4.376,
2009-01,4.461,
2009-04,4.529,
2009-07,4.577,
2009-10,5.105,
2010-01,4.997,
2010-04,4.928,
2010-07,4.540,
2010-10,4.494,
2011-01,4.490,
2011-04,4.336,
2011-07,4.259,
2011-10,3.801,
2012-01,3.735,
2012-04,3.634,
2012-07,3.462,
2012-10,3.370,
2013-01,3.312,
2013-04,3.277,
2013-07,3.272,
2013-10,3.248,
2014-01,3.282,
2014-04,3.423,
2014-07,3.454,
