"",BBK01.OEXJ04L,BBK01.OEXJ04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:42,
2002-01,3.958,
2002-04,3.527,
2002-07,3.779,
2002-10,3.712,
2003-01,3.655,
2003-04,3.326,
2003-07,3.891,
2003-10,4.809,
2004-01,5.214,
2004-04,5.276,
2004-07,6.638,
2004-10,6.871,
2005-01,7.259,
2005-04,6.392,
2005-07,7.979,
2005-10,4.900,
2006-01,5.303,
2006-04,5.306,
2006-07,6.073,
2006-10,5.496,
2007-01,6.381,
2007-04,7.039,
2007-07,8.210,
2007-10,9.836,
2008-01,13.060,
2008-04,10.238,
2008-07,14.778,
2008-10,20.716,
2009-01,17.288,
2009-04,12.031,
2009-07,12.718,
2009-10,14.838,
2010-01,14.232,
2010-04,13.861,
2010-07,13.166,
2010-10,14.120,
2011-01,12.554,
2011-04,13.274,
2011-07,11.526,
2011-10,14.394,
2012-01,12.727,
2012-04,13.516,
2012-07,11.263,
2012-10,11.683,
2013-01,12.355,
2013-04,12.647,
2013-07,8.934,
2013-10,10.135,
2014-01,11.591,
2014-04,10.401,
2014-07,11.085,
