"",BBFB1.Q.N.DE.A1.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:06,
1991-01,4217.673,
1991-04,332.054,
1991-07,89.338,
1991-10,1823.657,
1992-01,3880.195,
1992-04,-1563.582,
1992-07,3021.073,
1992-10,3726.458,
1993-01,3696.070,
1993-04,2607.458,
1993-07,954.380,
1993-10,6132.735,
1994-01,-1681.573,
1994-04,4507.336,
1994-07,-123.055,
1994-10,3010.252,
1995-01,1064.648,
1995-04,8800.301,
1995-07,7523.455,
1995-10,-501.156,
1996-01,5350.610,
1996-04,2940.341,
1996-07,8492.112,
1996-10,9879.863,
1997-01,26958.277,
1997-04,5910.537,
1997-07,10591.786,
1997-10,6498.603,
1998-01,19828.968,
1998-04,17492.255,
1998-07,12171.377,
1998-10,23228.784,
1999-01,16935.031,
1999-04,34219.834,
1999-07,-519.684,
1999-10,14621.024,
2000-01,42730.594,
2000-04,24775.993,
2000-07,11716.065,
2000-10,31636.009,
2001-01,44104.117,
2001-04,52648.438,
2001-07,-9088.624,
2001-10,8161.211,
2002-01,1977.966,
2002-04,-160.513,
2002-07,11602.525,
2002-10,-6859.556,
2003-01,19500.957,
2003-04,11348.042,
2003-07,-6450.769,
2003-10,-1805.208,
2004-01,2710.129,
2004-04,2990.332,
2004-07,9045.046,
2004-10,5025.329,
2005-01,22129.991,
2005-04,13440.543,
2005-07,9409.663,
2005-10,14853.444,
2006-01,1718.359,
2006-04,19340.631,
2006-07,13282.521,
2006-10,29681.883,
2007-01,12907.965,
2007-04,27668.757,
2007-07,55263.437,
2007-10,70983.186,
2008-01,11466.640,
2008-04,-24272.041,
2008-07,23917.340,
2008-10,-46036.720,
2009-01,-10528.477,
2009-04,18344.143,
2009-07,-22662.323,
2009-10,-14770.573,
2010-01,-13292.511,
2010-04,7641.898,
2010-07,-11494.050,
2010-10,29000.682,
2011-01,-9835.423,
2011-04,8102.397,
2011-07,13610.964,
2011-10,-1258.925,
2012-01,-1423.302,
2012-04,-20717.411,
2012-07,-746.416,
2012-10,24008.350,
2013-01,-6013.153,
2013-04,10162.651,
2013-07,3322.125,
2013-10,-4784.166,
2014-01,12415.281,Provisional value
2014-04,30177.568,Provisional value
2014-07,14406.549,Provisional value
2014-10,64178.608,Provisional value
