"",BBK01.OEAC23V,BBK01.OEAC23V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:13,
2002-01,0.081,
2002-04,0.030,
2002-07,0.036,
2002-10,0.047,
2003-01,0.036,
2003-04,0.033,
2003-07,0.027,
2003-10,0.026,
2004-01,0.022,
2004-04,0.028,
2004-07,0.048,
2004-10,0.079,
2005-01,0.062,
2005-04,0.085,
2005-07,0.094,
2005-10,0.083,
2006-01,0.063,
2006-04,0.035,
2006-07,0.029,
2006-10,0.040,
2007-01,0.041,
2007-04,0.048,
2007-07,0.047,
2007-10,0.068,
2008-01,0.072,
2008-04,0.051,
2008-07,0.073,
2008-10,0.097,
2009-01,0.072,
2009-04,0.197,
2009-07,0.082,
2009-10,0.075,
2010-01,0.091,
2010-04,0.086,
2010-07,0.089,
2010-10,0.089,
2011-01,0.089,
2011-04,0.097,
2011-07,0.101,
2011-10,0.087,
2012-01,0.096,
2012-04,0.099,
2012-07,0.102,
2012-10,0.129,
2013-01,0.104,
2013-04,0.085,
2013-07,0.084,
2013-10,0.107,
2014-01,0.080,
2014-04,0.083,
2014-07,0.084,
