"",BBSF2.M.1.S.I0002.GEF01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.GEF01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Number / Pension fund institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:52:31,
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,-,Nothing exists
2004-06,1,
2004-07,1,
2004-08,1,
2004-09,1,
2004-10,1,
2004-11,1,
2004-12,1,
2005-01,2,
2005-02,2,
2005-03,3,
2005-04,4,
2005-05,5,
2005-06,5,
2005-07,8,
2005-08,12,
2005-09,12,
2005-10,13,
2005-11,15,
2005-12,15,
2006-01,19,
2006-02,19,
2006-03,21,
2006-04,21,
2006-05,21,
2006-06,21,
2006-07,22,
2006-08,22,
2006-09,23,
2006-10,23,
2006-11,23,
2006-12,21,
2007-01,23,
2007-02,24,
2007-03,22,
2007-04,25,
2007-05,27,
2007-06,29,
2007-07,30,
2007-08,30,
2007-09,30,
2007-10,28,
2007-11,29,
2007-12,30,
2008-01,29,
2008-02,29,
2008-03,29,
2008-04,29,
2008-05,29,
2008-06,29,
2008-07,30,
2008-08,31,
2008-09,30,
2008-10,32,
2008-11,39,
2008-12,37,
2009-01,35,
2009-02,37,
2009-03,41,
2009-04,48,
2009-05,63,
2009-06,63,
2009-07,64,
2009-08,66,
2009-09,86,
2009-10,97,
2009-11,87,
2009-12,89,
2010-01,89,
2010-02,90,
2010-03,101,
2010-04,102,
2010-05,101,
2010-06,100,
2010-07,101,
2010-08,102,
2010-09,101,
2010-10,101,
2010-11,99,
2010-12,100,
2011-01,99,
2011-02,100,
2011-03,101,
2011-04,102,
2011-05,103,
2011-06,103,
2011-07,104,
2011-08,105,
2011-09,109,
2011-10,117,
2011-11,117,
2011-12,108,
2012-01,107,
2012-02,106,
2012-03,107,
2012-04,107,
2012-05,107,
2012-06,112,
2012-07,116,
2012-08,117,
2012-09,118,
2012-10,115,
2012-11,115,
2012-12,116,
2013-01,114,
2013-02,114,
2013-03,114,
2013-04,112,
2013-05,107,
2013-06,112,
2013-07,131,
2013-08,130,
2013-09,129,
2013-10,124,
2013-11,126,
2013-12,129,
2014-01,130,
2014-02,131,
2014-03,131,
2014-04,128,
2014-05,127,
2014-06,127,
2014-07,126,
2014-08,121,
2014-09,121,
2014-10,122,
2014-11,122,
