"",BBK01.OEAI02S,BBK01.OEAI02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:14,
2002-01,7.759,
2002-04,7.886,
2002-07,7.920,
2002-10,8.462,
2003-01,8.118,
2003-04,8.127,
2003-07,8.278,
2003-10,8.843,
2004-01,8.549,
2004-04,8.745,
2004-07,8.901,
2004-10,9.319,
2005-01,9.387,
2005-04,9.345,
2005-07,9.406,
2005-10,10.074,
2006-01,9.466,
2006-04,9.435,
2006-07,9.439,
2006-10,10.265,
2007-01,9.831,
2007-04,9.745,
2007-07,9.746,
2007-10,10.126,
2008-01,9.636,
2008-04,9.829,
2008-07,9.809,
2008-10,10.823,
2009-01,11.540,
2009-04,12.411,
2009-07,12.703,
2009-10,13.595,
2010-01,13.622,
2010-04,14.137,
2010-07,14.527,
2010-10,14.965,
2011-01,14.281,
2011-04,14.354,
2011-07,14.616,
2011-10,15.426,
2012-01,14.849,
2012-04,14.874,
2012-07,15.712,
2012-10,16.319,
2013-01,16.203,
2013-04,16.604,
2013-07,17.078,
2013-10,17.452,
2014-01,17.224,
2014-04,17.633,
2014-07,18.258,
