"",BBK01.OEAE16R,BBK01.OEAE16R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:38,
2002-01,0.061,
2002-04,0.059,
2002-07,0.062,
2002-10,0.060,
2003-01,0.063,
2003-04,0.076,
2003-07,0.076,
2003-10,0.075,
2004-01,0.068,
2004-04,0.074,
2004-07,0.061,
2004-10,0.066,
2005-01,0.071,
2005-04,0.044,
2005-07,0.043,
2005-10,0.055,
2006-01,0.033,
2006-04,0.041,
2006-07,0.038,
2006-10,0.050,
2007-01,0.048,
2007-04,0.041,
2007-07,0.038,
2007-10,0.042,
2008-01,0.039,
2008-04,0.035,
2008-07,0.038,
2008-10,0.041,
2009-01,0.039,
2009-04,0.042,
2009-07,0.038,
2009-10,0.037,
2010-01,0.041,
2010-04,0.042,
2010-07,0.036,
2010-10,0.038,
2011-01,0.037,
2011-04,0.036,
2011-07,0.035,
2011-10,0.038,
2012-01,0.032,
2012-04,0.036,
2012-07,0.034,
2012-10,0.041,
2013-01,0.039,
2013-04,0.036,
2013-07,0.037,
2013-10,0.036,
2014-01,0.032,
2014-04,0.031,
2014-07,0.030,
