"",BBK01.CEHPN0,BBK01.CEHPN0_FLAGS
"",Time deposits debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:34,
1991-01,13.7,
1991-04,-15.5,
1991-07,-4.5,
1991-10,21.3,
1992-01,-1.5,
1992-04,-10.7,
1992-07,-11.3,
1992-10,32.7,
1993-01,15.6,
1993-04,7.5,
1993-07,15.0,
1993-10,43.8,
1994-01,-23.5,
1994-04,-18.8,
1994-07,1.1,
1994-10,31.5,
1995-01,-5.0,
1995-04,17.6,
1995-07,6.5,
1995-10,-4.7,
1996-01,-9.2,
1996-04,-2.7,
1996-07,-13.4,
1996-10,30.3,
1997-01,7.7,
1997-04,-5.6,
1997-07,3.6,
1997-10,17.9,
1998-01,6.0,
1998-04,11.5,
1998-07,-8.8,
1998-10,33.3,
1999-01,-45.6,
1999-04,-3.8,
1999-07,15.9,
1999-10,5.8,
2000-01,9.2,
2000-04,-2.8,
2000-07,30.2,
2000-10,8.3,
2001-01,1.0,
2001-04,-18.8,
2001-07,34.0,
2001-10,47.2,
2002-01,-1.0,
2002-04,23.8,
2002-07,47.0,
2002-10,23.8,
2003-01,49.5,
2003-04,47.3,
2003-07,-16.1,
2003-10,29.7,
2004-01,12.7,
2004-04,13.8,
2004-07,9.6,
2004-10,88.9,
2005-01,5.3,
2005-04,17.1,
2005-07,42.5,
2005-10,16.8,
2006-01,37.2,
2006-04,57.8,
2006-07,-0.3,
2006-10,29.0,
2007-01,6.2,
2007-04,69.2,
2007-07,29.3,
2007-10,56.8,
2008-01,13.5,
2008-04,-11.1,
2008-07,32.4,
2008-10,-52.6,
2009-01,-62.1,
2009-04,3.8,
2009-07,-69.3,
2009-10,32.0,
2010-01,-33.9,
2010-04,-4.4,
2010-07,-12.7,
2010-10,-37.8,
2011-01,-23.8,
2011-04,7.2,
2011-07,13.0,
2011-10,-14.2,
2012-01,-33.6,
2012-04,-26.5,
2012-07,-24.5,
2012-10,-23.1,
2013-01,-8.8,
2013-04,-10.1,
2013-07,-25.2,
2013-10,15.5,
2014-01,40.8,
