"",BBK01.OEAH62K,BBK01.OEAH62K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:51,
2002-01,0.045,
2002-04,0.045,
2002-07,0.051,
2002-10,0.054,
2003-01,0.052,
2003-04,0.058,
2003-07,0.061,
2003-10,0.055,
2004-01,0.057,
2004-04,0.054,
2004-07,0.045,
2004-10,0.042,
2005-01,0.062,
2005-04,0.237,
2005-07,0.240,
2005-10,0.240,
2006-01,0.236,
2006-04,0.243,
2006-07,0.229,
2006-10,0.065,
2007-01,0.067,
2007-04,0.083,
2007-07,0.092,
2007-10,0.177,
2008-01,0.287,
2008-04,0.302,
2008-07,0.348,
2008-10,0.377,
2009-01,0.357,
2009-04,0.361,
2009-07,0.385,
2009-10,0.393,
2010-01,0.321,
2010-04,0.291,
2010-07,0.187,
2010-10,0.116,
2011-01,0.112,
2011-04,0.134,
2011-07,0.152,
2011-10,0.302,
2012-01,0.339,
2012-04,0.308,
2012-07,0.279,
2012-10,0.216,
2013-01,0.182,
2013-04,0.177,
2013-07,0.169,
2013-10,0.189,
2014-01,0.107,
2014-04,0.119,
2014-07,0.055,
