"",BBK01.OECB04V,BBK01.OECB04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:20,
2002-01,6.226,
2002-04,6.165,
2002-07,6.185,
2002-10,6.040,
2003-01,5.864,
2003-04,5.803,
2003-07,5.708,
2003-10,5.630,
2004-01,5.606,
2004-04,5.850,
2004-07,5.887,
2004-10,5.561,
2005-01,6.591,
2005-04,6.540,
2005-07,6.597,
2005-10,6.452,
2006-01,6.352,
2006-04,6.294,
2006-07,6.233,
2006-10,6.228,
2007-01,6.173,
2007-04,6.113,
2007-07,6.120,
2007-10,6.032,
2008-01,5.976,
2008-04,5.991,
2008-07,5.964,
2008-10,5.924,
2009-01,5.878,
2009-04,9.430,
2009-07,9.237,
2009-10,9.156,
2010-01,9.012,
2010-04,8.919,
2010-07,6.974,
2010-10,6.829,
2011-01,7.354,
2011-04,7.240,
2011-07,7.118,
2011-10,6.965,
2012-01,6.907,
2012-04,6.835,
2012-07,6.796,
2012-10,6.786,
2013-01,6.762,
2013-04,6.735,
2013-07,6.697,
2013-10,6.915,
2014-01,6.921,
2014-04,6.951,
2014-07,6.801,
