"",BBFB1.Q.N.DE.RU.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:31,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,988.456,
1992-07,1363.906,
1992-10,1383.453,
1993-01,1235.714,
1993-04,1358.536,
1993-07,1323.511,
1993-10,1322.752,
1994-01,1342.718,
1994-04,1496.474,
1994-07,1706.930,
1994-10,1718.996,
1995-01,1689.647,
1995-04,1541.372,
1995-07,1590.079,
1995-10,1624.480,
1996-01,1506.804,
1996-04,1898.409,
1996-07,1804.654,
1996-10,2111.700,
1997-01,2032.133,
1997-04,2027.565,
1997-07,2072.883,
1997-10,2094.970,
1998-01,1809.526,
1998-04,1796.355,
1998-07,1855.353,
1998-10,1648.728,
1999-01,2682.210,
1999-04,1784.501,
1999-07,2051.303,
1999-10,2512.815,
2000-01,2865.768,
2000-04,3246.172,
2000-07,3583.359,
2000-10,4025.107,
2001-01,3556.158,
2001-04,3507.243,
2001-07,3430.506,
2001-10,3201.123,
2002-01,2897.286,
2002-04,3181.247,
2002-07,3066.526,
2002-10,3302.836,
2003-01,3378.037,
2003-04,3378.676,
2003-07,3244.786,
2003-10,3509.288,
2004-01,3009.397,
2004-04,3631.703,
2004-07,3863.293,
2004-10,4932.075,
2005-01,4686.627,
2005-04,5577.851,
2005-07,5313.059,
2005-10,5543.923,
2006-01,7462.097,
2006-04,7371.969,
2006-07,7248.761,
2006-10,6662.399,
2007-01,6152.236,
2007-04,6820.918,
2007-07,6523.419,
2007-10,8108.225,
2008-01,8348.992,
2008-04,8659.830,
2008-07,10412.995,
2008-10,8447.649,
2009-01,5764.827,
2009-04,5326.052,
2009-07,6329.719,
2009-10,6853.557,
2010-01,6645.623,
2010-04,8060.718,
2010-07,7367.179,
2010-10,8225.004,
2011-01,9130.533,
2011-04,8723.348,
2011-07,10208.861,
2011-10,11300.137,
2012-01,10718.937,
2012-04,10394.410,
2012-07,9744.233,
2012-10,10673.971,
2013-01,10430.567,
2013-04,9514.436,
2013-07,10471.828,
2013-10,9787.255,
2014-01,10358.854,Provisional value
2014-04,9312.721,Provisional value
2014-07,8762.981,Provisional value
