"",BBK01.OEBI07I,BBK01.OEBI07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:53,
2002-01,5.310,
2002-04,4.748,
2002-07,4.703,
2002-10,4.821,
2003-01,4.658,
2003-04,4.520,
2003-07,3.604,
2003-10,3.625,
2004-01,3.521,
2004-04,3.441,
2004-07,3.538,
2004-10,3.567,
2005-01,6.221,
2005-04,6.196,
2005-07,6.133,
2005-10,6.215,
2006-01,6.152,
2006-04,6.150,
2006-07,6.094,
2006-10,6.698,
2007-01,7.204,
2007-04,7.262,
2007-07,7.391,
2007-10,7.648,
2008-01,7.685,
2008-04,7.886,
2008-07,7.866,
2008-10,8.684,
2009-01,8.779,
2009-04,8.948,
2009-07,9.273,
2009-10,9.134,
2010-01,8.808,
2010-04,8.685,
2010-07,8.625,
2010-10,8.881,
2011-01,8.996,
2011-04,8.924,
2011-07,8.912,
2011-10,8.927,
2012-01,9.125,
2012-04,8.987,
2012-07,8.825,
2012-10,8.739,
2013-01,8.516,
2013-04,8.330,
2013-07,8.169,
2013-10,8.145,
2014-01,8.049,
2014-04,7.955,
2014-07,8.251,
