"",BBK01.OEAA29U,BBK01.OEAA29U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:51,
2002-01,3.736,
2002-04,3.737,
2002-07,3.710,
2002-10,3.760,
2003-01,3.697,
2003-04,3.691,
2003-07,3.669,
2003-10,3.674,
2004-01,3.590,
2004-04,3.567,
2004-07,3.536,
2004-10,3.578,
2005-01,3.522,
2005-04,3.516,
2005-07,3.478,
2005-10,3.458,
2006-01,3.410,
2006-04,3.429,
2006-07,3.417,
2006-10,3.421,
2007-01,3.383,
2007-04,3.348,
2007-07,3.313,
2007-10,3.335,
2008-01,3.280,
2008-04,3.277,
2008-07,3.275,
2008-10,3.268,
2009-01,3.225,
2009-04,3.617,
2009-07,3.595,
2009-10,3.584,
2010-01,3.551,
2010-04,3.560,
2010-07,3.539,
2010-10,3.516,
2011-01,3.565,
2011-04,3.564,
2011-07,3.534,
2011-10,3.522,
2012-01,3.507,
2012-04,3.859,
2012-07,3.880,
2012-10,3.864,
2013-01,3.826,
2013-04,3.834,
2013-07,3.979,
2013-10,3.983,
2014-01,3.949,
2014-04,3.904,
2014-07,3.919,
