"",BBK01.OEAH45Q,BBK01.OEAH45Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:14,
2002-01,1.114,
2002-04,1.062,
2002-07,1.039,
2002-10,1.023,
2003-01,0.951,
2003-04,0.887,
2003-07,0.846,
2003-10,0.842,
2004-01,0.813,
2004-04,0.754,
2004-07,0.775,
2004-10,0.852,
2005-01,0.927,
2005-04,0.736,
2005-07,0.731,
2005-10,0.707,
2006-01,0.781,
2006-04,0.855,
2006-07,0.990,
2006-10,1.109,
2007-01,1.165,
2007-04,1.204,
2007-07,1.368,
2007-10,1.551,
2008-01,1.566,
2008-04,1.588,
2008-07,1.740,
2008-10,1.707,
2009-01,0.975,
2009-04,0.794,
2009-07,0.705,
2009-10,0.567,
2010-01,0.513,
2010-04,0.484,
2010-07,0.456,
2010-10,0.532,
2011-01,0.521,
2011-04,0.549,
2011-07,0.528,
2011-10,0.510,
2012-01,0.522,
2012-04,0.470,
2012-07,0.419,
2012-10,0.385,
2013-01,0.369,
2013-04,0.354,
2013-07,0.358,
2013-10,0.355,
2014-01,0.331,
2014-04,0.321,
2014-07,0.304,
