"",BBK01.OEHB19J,BBK01.OEHB19J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:35,
2002-01,0.114,
2002-04,0.116,
2002-07,0.114,
2002-10,0.101,
2003-01,0.101,
2003-04,0.102,
2003-07,0.098,
2003-10,0.101,
2004-01,0.100,
2004-04,0.099,
2004-07,0.098,
2004-10,0.095,
2005-01,0.102,
2005-04,0.102,
2005-07,0.103,
2005-10,0.093,
2006-01,0.093,
2006-04,0.088,
2006-07,0.091,
2006-10,0.087,
2007-01,0.082,
2007-04,0.083,
2007-07,0.082,
2007-10,0.081,
2008-01,0.080,
2008-04,0.078,
2008-07,0.079,
2008-10,0.076,
2009-01,0.076,
2009-04,0.077,
2009-07,0.063,
2009-10,0.064,
2010-01,0.064,
2010-04,0.063,
2010-07,0.062,
2010-10,0.057,
2011-01,0.053,
2011-04,0.051,
2011-07,0.052,
2011-10,0.050,
2012-01,0.048,
2012-04,0.047,
2012-07,0.049,
2012-10,0.049,
2013-01,0.049,
2013-04,0.050,
2013-07,0.050,
2013-10,0.049,
2014-01,0.048,
2014-04,0.048,
2014-07,0.050,
