"",BBFN1.M.DE.N.1.L.MY.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.MY.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Malaysia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:11,
1994-12,0.556,
1995-01,0.607,
1995-02,0.318,
1995-03,0.391,
1995-04,0.403,
1995-05,0.452,
1995-06,0.514,
1995-07,0.556,
1995-08,0.626,
1995-09,0.596,
1995-10,0.616,
1995-11,0.450,
1995-12,0.377,
1996-01,0.419,
1996-02,0.411,
1996-03,0.406,
1996-04,0.398,
1996-05,0.384,
1996-06,0.447,
1996-07,0.441,
1996-08,0.450,
1996-09,0.491,
1996-10,0.561,
1996-11,0.496,
1996-12,0.464,
1997-01,0.497,
1997-02,0.531,
1997-03,0.512,
1997-04,0.568,
1997-05,0.558,
1997-06,0.581,
1997-07,0.568,
1997-08,0.622,
1997-09,0.638,
1997-10,0.640,
1997-11,0.669,
1997-12,0.577,
1998-01,0.703,
1998-02,0.581,
1998-03,0.618,
1998-04,0.600,
1998-05,0.614,
1998-06,0.604,
1998-07,0.538,
1998-08,0.571,
1998-09,0.468,
1998-10,0.509,
1998-11,0.495,
1998-12,0.518,
1999-01,0.493,
1999-02,0.519,
1999-03,0.501,
1999-04,0.601,
1999-05,0.644,
1999-06,0.782,
1999-07,0.659,
1999-08,0.687,
1999-09,0.568,
1999-10,0.488,
1999-11,0.617,
1999-12,0.509,
2000-01,0.509,
2000-02,0.556,
2000-03,0.569,
2000-04,0.570,
2000-05,0.603,
2000-06,0.632,
2000-07,0.683,
2000-08,0.696,
2000-09,0.727,
2000-10,0.741,
2000-11,0.775,
2000-12,0.819,
2001-01,0.772,
2001-02,0.810,
2001-03,0.841,
2001-04,0.852,
2001-05,0.686,
2001-06,0.764,
2001-07,0.662,
2001-08,0.755,
2001-09,0.810,
2001-10,0.740,
2001-11,0.694,
2001-12,0.713,
2002-01,0.721,
2002-02,0.700,
2002-03,0.685,
2002-04,0.538,
2002-05,0.736,
2002-06,0.782,
2002-07,0.781,
2002-08,0.821,
2002-09,0.820,
2002-10,0.833,
2002-11,0.789,
2002-12,0.824,
2003-01,0.747,
2003-02,0.768,
2003-03,0.792,
2003-04,0.752,
2003-05,0.770,
2003-06,0.789,
2003-07,0.392,
2003-08,0.422,
2003-09,0.467,
2003-10,0.475,
2003-11,0.481,
2003-12,0.513,
2004-01,0.498,
2004-02,0.495,
2004-03,0.608,
2004-04,0.570,
2004-05,0.550,
2004-06,0.613,
2004-07,0.612,
2004-08,0.672,
2004-09,0.675,
2004-10,0.680,
2004-11,0.661,
2004-12,0.699,
2005-01,0.668,
2005-02,0.743,
2005-03,0.808,
2005-04,0.758,
2005-05,0.792,
2005-06,0.763,
2005-07,0.766,
2005-08,0.513,
2005-09,0.534,
2005-10,0.547,
2005-11,0.458,
2005-12,0.526,
2006-01,0.498,
2006-02,0.563,
2006-03,0.539,
2006-04,0.520,
2006-05,0.555,
2006-06,0.574,
2006-07,0.553,
2006-08,0.573,
2006-09,0.715,
2006-10,0.671,
2006-11,0.646,
2006-12,0.646,
2007-01,0.659,
2007-02,0.672,
2007-03,0.752,
2007-04,0.727,
2007-05,0.758,
2007-06,0.799,
2007-07,0.790,
2007-08,0.917,
2007-09,0.951,
2007-10,0.904,
2007-11,0.951,
2007-12,1.011,
2008-01,0.979,
2008-02,0.987,
2008-03,1.010,
2008-04,0.948,
2008-05,0.941,
2008-06,1.004,
2008-07,0.923,
2008-08,0.944,
2008-09,0.971,
2008-10,0.906,
2008-11,0.962,
2008-12,1.007,
2009-01,1.024,
2009-02,1.016,
2009-03,0.956,
2009-04,0.949,
2009-05,0.975,
2009-06,0.980,
2009-07,1.000,
2009-08,1.006,
2009-09,0.894,
2009-10,0.926,
2009-11,0.925,
2009-12,0.943,
2010-01,0.967,
2010-02,0.978,
2010-03,0.986,
2010-04,1.100,
2010-05,1.107,
2010-06,1.157,
2010-07,1.192,
2010-08,1.203,
2010-09,1.224,
2010-10,1.224,
2010-11,1.310,
2010-12,1.311,
2011-01,1.293,
2011-02,1.279,
2011-03,1.304,
2011-04,1.291,
2011-05,1.265,
2011-06,1.296,
2011-07,1.294,
2011-08,1.277,
2011-09,1.286,
2011-10,1.233,
2011-11,1.205,
2011-12,1.324,
2012-01,1.315,
2012-02,1.315,
2012-03,1.321,
2012-04,1.380,
2012-05,1.392,
2012-06,1.438,
2012-07,1.460,
2012-08,1.469,
2012-09,1.504,
2012-10,1.469,
2012-11,1.392,
2012-12,1.439,
2013-01,1.413,
2013-02,1.430,
2013-03,1.588,
2013-04,1.613,
2013-05,1.633,
2013-06,1.573,
2013-07,1.556,
2013-08,1.611,
2013-09,1.667,
2013-10,1.695,
2013-11,1.646,
2013-12,1.549,
2014-01,1.460,
2014-02,1.496,
2014-03,1.510,
2014-04,1.438,
2014-05,1.479,
2014-06,1.486,
2014-07,1.421,
2014-08,1.440,
2014-09,1.560,
2014-10,1.492,
2014-11,1.418,
2014-12,1.411,
