"",BBK01.QUK911,BBK01.QUK911_FLAGS
"",Consolidated German banks: Loans and advances to foreign general government / Romania / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:32:17,
2002-03,0.139,
2002-04,0.125,
2002-05,0.126,
2002-06,0.104,
2002-07,0.107,
2002-08,0.107,
2002-09,0.107,
2002-10,0.108,
2002-11,0.108,
2002-12,0.114,
2003-01,0.121,
2003-02,0.127,
2003-03,0.074,
2003-04,0.156,
2003-05,0.164,
2003-06,0.180,
2003-07,0.117,
2003-08,0.185,
2003-09,0.189,
2003-10,0.164,
2003-11,0.157,
2003-12,0.125,
2004-01,0.140,
2004-02,0.130,
2004-03,0.161,
2004-04,0.163,
2004-05,0.180,
2004-06,0.181,
2004-07,0.198,
2004-08,0.185,
2004-09,0.185,
2004-10,0.193,
2004-11,0.223,
2004-12,0.266,
2005-01,0.276,
2005-02,0.287,
2005-03,0.282,
2005-04,0.335,
2005-05,0.361,
2005-06,0.359,
2005-07,0.333,
2005-08,0.327,
2005-09,0.316,
2005-10,0.308,
2005-11,0.341,
2005-12,0.317,
2006-01,0.312,
2006-02,0.314,
2006-03,0.306,
2006-04,0.302,
2006-05,0.299,
2006-06,0.291,
2006-07,0.281,
2006-08,0.274,
2006-09,0.269,
2006-10,0.266,
2006-11,0.260,
2006-12,0.275,
2007-01,0.262,
2007-02,0.255,
2007-03,0.252,
2007-04,0.248,
2007-05,0.245,
2007-06,0.238,
2007-07,0.226,
2007-08,0.223,
2007-09,0.215,
2007-10,0.212,
2007-11,0.209,
2007-12,0.202,
2008-01,0.193,
2008-02,0.189,
2008-03,0.183,
2008-04,0.166,
2008-05,0.164,
2008-06,0.160,
2008-07,0.152,
2008-08,0.153,
2008-09,0.152,
2008-10,0.159,
2008-11,0.157,
2008-12,0.147,
2009-01,0.143,
2009-02,0.131,
2009-03,0.132,
2009-04,0.131,
2009-05,0.127,
2009-06,0.124,
2009-07,0.113,
2009-08,0.116,
2009-09,0.110,
2009-10,0.108,
2009-11,0.106,
2009-12,0.126,
2010-01,0.122,
2010-02,0.122,
2010-03,0.119,
2010-04,0.118,
2010-05,0.121,
2010-06,0.123,
2010-07,0.116,
2010-08,0.117,
2010-09,0.117,
2010-10,0.119,
2010-11,0.129,
2010-12,0.127,
2011-01,0.117,
2011-02,0.125,
2011-03,0.125,
2011-04,0.132,
2011-05,0.133,
2011-06,0.137,
2011-07,0.128,
2011-08,0.130,
2011-09,0.132,
2011-10,0.131,
2011-11,0.149,
2011-12,0.180,
2012-01,0.163,
2012-02,0.162,
2012-03,0.168,
2012-04,0.170,
2012-05,0.173,
2012-06,0.179,
2012-07,0.161,
2012-08,0.162,
2012-09,0.161,
2012-10,0.166,
2012-11,0.173,
2012-12,0.177,
2013-01,0.157,
2013-02,0.157,
2013-03,0.157,
2013-04,0.154,
2013-05,0.153,
2013-06,0.152,
2013-07,0.133,
2013-08,0.132,
2013-09,0.132,
2013-10,0.134,
2013-11,0.133,
2013-12,0.146,
2014-01,0.128,
2014-02,0.127,
2014-03,0.127,
2014-04,0.127,
2014-05,0.126,
2014-06,0.124,
2014-07,0.107,
2014-08,0.106,
2014-09,0.106,
2014-10,0.106,
