"",BBK01.QUX730,BBK01.QUX730_FLAGS
"","Consolidated German banks: Foreign money market paper, bonds and notes, shares / Denmark / All currencies",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:31:49,
2002-03,7.306,
2002-04,6.522,
2002-05,6.068,
2002-06,6.140,
2002-07,6.265,
2002-08,6.556,
2002-09,6.398,
2002-10,6.380,
2002-11,5.862,
2002-12,5.240,
2003-01,5.055,
2003-02,5.231,
2003-03,5.364,
2003-04,5.237,
2003-05,5.440,
2003-06,5.085,
2003-07,5.270,
2003-08,5.872,
2003-09,6.000,
2003-10,6.003,
2003-11,6.188,
2003-12,6.053,
2004-01,5.945,
2004-02,6.144,
2004-03,6.508,
2004-04,6.706,
2004-05,6.653,
2004-06,6.944,
2004-07,6.817,
2004-08,6.573,
2004-09,6.875,
2004-10,6.672,
2004-11,6.351,
2004-12,7.358,
2005-01,7.693,
2005-02,7.529,
2005-03,8.860,
2005-04,8.954,
2005-05,8.979,
2005-06,9.441,
2005-07,9.590,
2005-08,9.581,
2005-09,10.030,
2005-10,9.817,
2005-11,9.450,
2005-12,9.315,
2006-01,8.068,
2006-02,8.515,
2006-03,8.502,
2006-04,6.936,
2006-05,8.261,
2006-06,8.808,
2006-07,8.771,
2006-08,8.600,
2006-09,9.063,
2006-10,9.213,
2006-11,9.574,
2006-12,10.106,
2007-01,10.381,
2007-02,10.331,
2007-03,10.592,
2007-04,11.350,
2007-05,11.898,
2007-06,12.397,
2007-07,12.167,
2007-08,12.363,
2007-09,12.669,
2007-10,12.666,
2007-11,12.706,
2007-12,12.904,
2008-01,12.494,
2008-02,12.360,
2008-03,11.741,
2008-04,12.297,
2008-05,12.457,
2008-06,12.730,
2008-07,12.727,
2008-08,12.529,
2008-09,13.020,
2008-10,12.082,
2008-11,11.686,
2008-12,11.452,
2009-01,10.789,
2009-02,10.602,
2009-03,10.737,
2009-04,10.737,
2009-05,10.778,
2009-06,10.696,
2009-07,10.505,
2009-08,9.633,
2009-09,9.434,
2009-10,9.437,
2009-11,8.744,
2009-12,9.574,
2010-01,8.830,
2010-02,8.566,
2010-03,8.184,
2010-04,8.432,
2010-05,8.385,
2010-06,8.322,
2010-07,8.223,
2010-08,8.010,
2010-09,7.948,
2010-10,7.899,
2010-11,7.501,
2010-12,7.588,
2011-01,7.355,
2011-02,7.285,
2011-03,7.444,
2011-04,7.180,
2011-05,7.482,
2011-06,6.878,
2011-07,6.913,
2011-08,6.806,
2011-09,6.772,
2011-10,6.559,
2011-11,6.403,
2011-12,6.166,
2012-01,6.025,
2012-02,6.270,
2012-03,5.715,
2012-04,6.150,
2012-05,6.081,
2012-06,5.351,
2012-07,5.441,
2012-08,5.563,
2012-09,5.514,
2012-10,5.748,
2012-11,5.925,
2012-12,5.798,
2013-01,6.888,
2013-02,6.942,
2013-03,7.139,
2013-04,7.079,
2013-05,7.106,
2013-06,6.501,
2013-07,6.518,
2013-08,6.639,
2013-09,6.626,
2013-10,6.643,
2013-11,6.612,
2013-12,6.875,
2014-01,6.694,
2014-02,6.544,
2014-03,6.112,
2014-04,6.277,
2014-05,6.233,
2014-06,6.597,
2014-07,6.639,
2014-08,6.875,
2014-09,7.017,
2014-10,7.354,
