"",BBK01.OEXI09S,BBK01.OEXI09S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:24,
2002-01,0.362,
2002-04,0.349,
2002-07,0.358,
2002-10,0.339,
2003-01,0.299,
2003-04,0.267,
2003-07,0.250,
2003-10,0.245,
2004-01,0.225,
2004-04,0.208,
2004-07,0.196,
2004-10,0.190,
2005-01,0.202,
2005-04,0.192,
2005-07,0.162,
2005-10,0.160,
2006-01,0.166,
2006-04,0.179,
2006-07,0.189,
2006-10,0.208,
2007-01,0.307,
2007-04,0.346,
2007-07,0.382,
2007-10,0.444,
2008-01,0.480,
2008-04,0.501,
2008-07,0.526,
2008-10,0.641,
2009-01,0.597,
2009-04,0.570,
2009-07,0.548,
2009-10,0.446,
2010-01,0.367,
2010-04,0.353,
2010-07,0.345,
2010-10,0.412,
2011-01,0.479,
2011-04,0.499,
2011-07,0.507,
2011-10,0.489,
2012-01,0.456,
2012-04,0.450,
2012-07,0.425,
2012-10,0.374,
2013-01,0.320,
2013-04,0.282,
2013-07,0.272,
2013-10,0.255,
2014-01,0.241,
2014-04,0.221,
2014-07,0.274,
