"",BBK01.OEYI05G,BBK01.OEYI05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:01,
2002-01,109.004,
2002-04,105.905,
2002-07,105.151,
2002-10,105.878,
2003-01,105.267,
2003-04,103.885,
2003-07,105.288,
2003-10,105.430,
2004-01,103.578,
2004-04,104.753,
2004-07,104.505,
2004-10,105.240,
2005-01,106.959,
2005-04,107.261,
2005-07,112.422,
2005-10,113.260,
2006-01,111.465,
2006-04,111.213,
2006-07,111.953,
2006-10,113.375,
2007-01,112.656,
2007-04,113.189,
2007-07,112.732,
2007-10,113.297,
2008-01,103.521,
2008-04,107.322,
2008-07,109.641,
2008-10,109.259,
2009-01,113.733,
2009-04,124.835,
2009-07,124.434,
2009-10,122.439,
2010-01,122.614,
2010-04,122.799,
2010-07,121.973,
2010-10,123.645,
2011-01,126.632,
2011-04,125.684,
2011-07,125.120,
2011-10,123.937,
2012-01,122.948,
2012-04,122.555,
2012-07,120.192,
2012-10,117.436,
2013-01,118.115,
2013-04,117.877,
2013-07,116.065,
2013-10,116.670,
2014-01,116.707,
2014-04,115.704,
2014-07,115.554,
